@relation reviewsExample

@attribute revContent string
@attribute revBug {Y,N}

@data
"This update kills your battery I love google maps and was using it for years. This update has many positives like lane info and extended trip information. But there is major flaw - it uses your iphone battery like no tomorrow! Initially I just felt it, but today I confirmed. Here is how. Yesterday I drove to work 30 mins trip and my battery went from 100\% to 79\% (21\% used), today I did same trip using waze (another google-owned great navigation app) and battery went from 100\% to 96\% (only 4\% reduction). So this battery drainage can not be explained just by usage of GPS sensor, it seems that there is something very wrong with google maps-battery interaction. Google, please fix it! Until then, I'm switching to Waze :(",Y
"Awesome additions Continually adding cool new features requested by users and otherwise is ensuring Google Maps keeps its spot as the best maps app on iOS.",N
"Best map app Best map app on iOS!",N
"Ehh I use this app quite a bit but I always end up having to switch back to the dreaded apple maps. Google maps always loses my directions and always conveniently when I need them the most. I always start out using it because it finds the best routes but it's just not reliable enough for me.",Y
"My favorite App on iOS A must have for a traveller!",N
"Nag nag nag Rating one star because the app nagged me to rate it.",N
"Best app ever !!",N
"Great This map is AMAZING...",N
"Best mapping application Sync with your google account from desktop, laptop, iPhone or any smartphone, and tablets.",N
"Good Good",N
"Google Maps Awesome! Very accurate and easy to use.",N
"Sponsored stuff? Not updating for that! You add in sponsored junk and want us to download the update? No thank you.",N
"Nice Best nav app",N
"Best app ever! This is the best maps app ever I use GPS maps for my job I have mapquest and Magellan, they have failed me with google maps I can rest assured I'll find an address!",N
"Awesome Gets better all the time.",N
"Google maps is the best Up to date, easy to use, quick. I love it.",N
"CM Review I LOVE IT!!!",N
"This app used to be great Then voice guidance stopped working and it went to crap!",Y
"Very helpful This app helped me out when I was lost traveling to a new city. I use it anywhere I travel unfamiliar. It knows which roads go which way, but sometimes may mistake where some small not so popular places may be so just make sure they are actually there before heading off following googles directions, it's just every so often it does it. Not much. Best GPS app around by far still.",Y
"Google map No need for Garmin with this bad boy... Goes right through my voice system in my BMW... So i just got my NAVIGATION system : no need for upgrades...!!! Go Google Go....!",N
"Good navigation Has sent me to the wrong place twice but a very good app overall",N
"Great app Great app! Keeps me from getting lost!",N
"Love Google Maps It just keeps getting better",N
"Best map app The one I go to when I'm lost. Simple to use. Rarely makes a wrong turn even in rural areas.",N
"Great app All good.",N
"Awesome The maps is just awesome... The best map that I have ever used... Comparing with Nokia, BB, and iPhone.... Always give.s the best results..",N
"Great GPS This is a grea navigation system!!!",N
"Very good! Nice!",N
"Great Great map directions and visual and voice",N
"Love it I love this map app!!!!!!!!!!!!!!!!!",N
"Google map Awesome",N
"Mr. What a great app.",N
"Great Really helpful",N
"The greatest map app Googles pod is the best app on the market. I Judy moved to a new city and would be lost without it. Pam",N
"Nice Nice",N
"Pretty but much worse 3D flying is very pretty. But traffic and directions have taken a huge hit, much much worse, really useless now. Apple maps got better, google maps got worse. Ying and yang...",N
"Best map app The best map app available in this universe.",N
"Best map app out there Extremely useful, can be used (even zoom) with one hand, loud and clear directions, very flexible (train/walking/bike/bus routes). BEST ROUTING METHODS TOO",N
"very nice very good",N
"Great app! So glad to have it backing I-Phone.",N
"Much better than Apple maps. So much more convenient to locate businesses. It's like a more full featured, accurate apple maps combined with yelp, all in one, with the very useful Street view.",N
"The best Absolutely the best map service in the iphone !!!!!",N
"Yes! It's so great and with this new version it's even better!",N
"I like it Works good",N
"Awesome Way better than Apple maps or anything else out there. Inside maps of malls and airports are great!",N
"Maps I just live this app works with no problems never sends me to the wrong place gives extra details I could go in",N
"Great app Map is easy to read. Voice directions are easy to understand. Simple controls.",N
"The only one you need I use this for traffic all the time in the DC area and its better than ever!!",N
"Remark Very good! Thanks google maps,",N
"Glad glad glad, to have Google Maps Back on iPad! Finally,  lets face it, ipad iOS Mpas does not hold a candle to Google Maps.\nAnd even though this is different than the original, it's leaps and bounds better, due to search and the sheer mass of POIs.",N
"Finally! A map application that works!!  Thank you Google!! Much better than Apple Maps!!",N
"Easy to use Useful and very user friendly",N
"Great app Nough said",N
"Disappointing While the nav and directions have been accurate for me, the app auto-dims my screen and I can't see anything until I go back into settings to adjust my screen's brightness. Not exactly safe while driving.",Y
"Auto dims screen and won't allow it to go back bright. App dims screen when in use which is annoying and won't allow the phone screen return to bright. You have to go into settings and turn it back up. If the app is not fully closed out it will continue to turn off your screen.",Y
"Great Great application. Accurate maps and traffic. Dims when plugged in. Kind of annoying.",Y
"Review I love it",N
"Ineffective Voice navigation doesn't work. It simply doesn't give voice commands except when I'm driving on the interstate and it tells me over and over to continue to drive straight. When I have to make a turn though´┐¢. it's silent.",Y
"Good It's ok, but I like Apple maps more",N
"Excellent App. Mapping Done Right! Phenomenal app with no downsides I can think of. Once again, Google has shown why they're a leader in any field they compete in.",N
"Close but no cigar I love google and their app is certainly well done and have used my iPhone 5 as a GPS ever since the google maps app was released. However, the app absolutely demolishes my battery life and causes my phone to get pretty hot as well. Not entirely sure why this is, but it almost tempts me to go back to my tomtom for GPS purposes. If these are fixable problems, I hope they will be resolved soon.",Y
"Quit complaining I see this is a HUGe step in the right direction (no pun intended), I bet the next update will fix the contact list info problem.. I look forward to finally using google maps on a Apple IOS, yes it will have some bugs but in the end it will be a lot better then 'MAPS'",Y
"Finally came. Finally came",N
"Good, but needs improvement It doesn't have access to the contact book, and street view takes too many steps to bring up. Also, the entire application is very chunky and laggy on the iPhone 4 (in comparison to Apple Maps, thanks to vectors). Google Maps has much more information than Apple Maps but runs like a sloth.",Y
"I Love It! Amazing App. Good Work. Definitely Better Than Apple Maps. ;oo Sorry Apple. x)",N
"Without the ability to access Contact this isn't much better than the native app Please fix this.",Y
"Street View Love this app!!! Better than any other map app including apple maps! My favorite feature is the Street View. It's way better than the 3D map apple has! Great job Google!",N
"Love it Love it",N
"Bad In Ukraine is unusefull. Not everyone house has number. Not corectly!",Y
"Thank you Apple and Google Good for you, Apple, for not being too proud. And thanks, Google, for being persistent. This is definitely an improvement over the original Google Maps for iOS. It's a massive improvement over Apple's maps. I like the new directions UI, the speed at certain map resolution, the integration into my Google starred items, and getting back internal support for public transport.",N
"While it was Apples own application While Google maps was apples own application, it was much more convenient, user friendly and fast..",N
"Steve Jobs would have liked this App. Let's face it, Jobs would have never allowed Apple's version of the map app out in shape it was even with the fixes.  Apple, you'll really need to hit it out of the park on you're next try... But hey, this is about google's return to the iPhone and wow what a return it is! Great work Google map team!!",N
"Finally! We get this back! Thank god for google maps! If it was up to Apple no one would get anywhere!!",N
"Finally! Thank thank thank you!! Finally apple has seen its HUGE mistake on the maps debacle and I finally get a native google maps app!! Makes my iPhone worth having again.",N
"Student My iPhone can finally get me to places accurately!",N
"Nice Relieved",N
"I was excited, but the first thing was wrong I was excited to get what I used to have in a map app. The new look was nice, but the first thing I looked up was wrong. I looked up the apple store in cool springs, and it showed it about a half a mile from where it is located. It shows it down the street from the mall not in it. So Apples Map app is not much different. Why is it that the app google made before was better? Why could they not offer what was there before, and then improve it. Over all I like it, but no better than any other map app. Hopefully someone calls out google publicly like the did with Apple!",N
"Great! Goodbye Apple Maps!",N
"It's 2012, thank you for navigation. About time! Get it now!",N
"Finally! Thx Google! We needed this. Apple maps is the worst!",N
"The best!!! The best!!!",N
"Awesome! Five stars! The maps load incredibly fast, and the interface is user-friendly.",N
"Finally! So much better than Apple",N
"Google Maps It's good.",N
"Google map Very nice!:)",N
"Useful but privacy? Nice to have a functional maps app, but considering Google's attitude toward privacy, I intend to delete this app as soon as there is a decent alternative available.",N
"No google no life Waiting so long since upgrade to IOS 6",Y
"Finally Arrived!!! I'm so thrilled!!!",N
"finally about time",N
"Fun Very",N
"I mean I'm a girl but I LOVE THIS Even though I'm a girl this app is awesome!!!???????? and I'm not writing a SUPER long review so BYE PEEPS???????? also my coc name is Taylorluv",N
"It's ok The game is not bad. However once you get to the higher levels it takes way to long to upgrade (them trying to get you to buy gems and it cost way to much for you to use gems) if the upgrade time wasn't days upon days it would get 5 stars. But seriously 14 days for the lvl 9 town hall wow.",N
"Clash of clans Very good game but you need to put more troops different fighters and to be able to upgrade town hall to level 12 at least cause I have it full upgrade",N
"Awsome!!!!! This game is Awsome in every way!!!",N
"Literally the best game I have ever downloaded on the app store How do you make these kind of games ,supercell you rock (=",N
"The best game ever played The game the best game I've ever seen ????",N
"Wow I love this game who ever made it is awsome",N
"Great Clash of clans is the best game. You can build your own village.fight and defend.If you ask me Clash Of Clans is the best game ever.",N
"Awesome Game! I suggest you get it!",N
"Great game Love it have a good time with friends highly recommend",N
"so hot good",N
"I Love Clash of Clans Clash of clans is My one of the Best Game in AppStore????????????????????????????\nAnd Thanking to Supercell for giving Clash of Clans ????????????????",N
"Awesome Game!! Great game overall.",N
"Great game! Good game enjoy it alot",N
"???? ?. ????. ???????????",N
"Asome It is so much fun.????????????????",N
"Awesome game!!! Fun and extremely addicting!!!",N
"Good game Good",N
"Awesome Love the game. Tons of fun and not getting tired of it (rarity for me)",N
"hi hi",N
"Awesome But takes to long",Y
"Addicting Best game ever...just wish they didnt add the dumb air sweeper",N
"Great game If there was a 9,000 stars I'll give it 9,000 stars",N
"The best game on earth This is the best game on earth it is my life??",N
"Great app I've had this app for years and I still love it..",N
"Fun!!!! This game is so fun and addicting!!!!but my iPod wont let me play the game because I have to update it but I can't update anything. You should really fix that and even if you have updated the game or not you should still be able to play.",Y
"Gem Costs Seriously guys. You have Boom Beach and FarmVille. Do you guys really need buying gems to be something insane?! I mean, there's a video on YouTube about a person who spent ??$12,000?? maxing out his base! SERIOUSLY?! Come on Supercell, you need to start making up for this. Please.",N
"I love it IM ADDICTED AND I JUST CAN'T GET ENOUGH!!!!!! I've been playing this since April or march every afflicting what can I tell u I freakin am in love",N
"Clash Love it",N
"It's pretty awesome This is an awesome game ! \nI love it so much and I'm a girl trust me I'm a huge gamer and I just enjoy this game. The only downside right now would be, when you kick someone out they can't join back in again :/ \nOther than that it's just amazing.",N
"Best game ever in the entire mobile world This is the game that has the sense of thinking on how you build your own soldiers, create defensive and offensive strategies, alied team or clan, time management and patience of mind. And Its not only because of the popularity of the game Its self. But the excitement and continuous and better competition \n\nMore power supercell\n\nAriva ariva TAU GAMMA PHI Clan and Triskelion Clash of Clan\n\n- znaht",N
"Clash of clans is love clash of clans is life but like shrek, that is not a good thing This game began as a small hobby but it became more than that eventually. It became love and life, simultaneously. It became an addiction. I'm a student and it consumed me completely. Playing all day and all night, but it was just yesterday I realized the damage it had done to me. Wiring my brain around it and not school. I had to do something so I deleted it, and gave the account to an acquaintance. I am now happily living the clash free life and progressing well in rehab!! Be careful with this game!!",N
"Y Awesome",N
"Glitch with war Hey gang you have a glitch in the war mode. We are still in day one of war, it says that the war has ended when you go to either clans personnel n try to check out thier bases, just thought you should know.",Y
"Great game Ive played this type of games before, like g of war, but thhis game is by far the best ive played.",N
"Clash of clans Good game",N
"Could be better After a while the game just gets boring.You just keep doing the same thing over and over again.Attack,defense,train,\nthen sometimes you buy something.You might have fun with it at first.But when you get to level 30 you will \nprobably delete the game like me.",N
"Everyone is doing it You will be surprised how many people actually play this game. I know like 10 people that play. It's a great, easy to play, and fun to destroy other peoples things.",N
"Best game ever!!! ???????????? This is an outstanding game but after ever win you should get 1 gem",N
"James This game is awesome!!!!!!!",N
"My swag review This is swag",N
"Not working The application for clash of clans is not letting me get in or even loading at all",Y
"Clash of Clans This game is such a great strategy game, can't get enough of it.",N
"Won't load I used to play this a lot then I decided not to play for a while. When I felt like playing it again, it's just stuck on the loading screen. I deleted and downloaded it again and thought it was fixed but when I left the app I'm back on the the loading screen. Also, I was going to try their other game, boom beach, but that won't load either, and I haven't even played it yet! Is it because I have the iPhone 4?",Y
"Stole my money I purchased $9.99 of gems on clash of clans and I have not received my gems please help me",Y
"Awesome!! ?? I play this game every-single day. It's so much fun! I will give this game a 10/10",N
"Hey oh South Park said it best",N
"Awesome Awesome",N
"Best game I've ever played This is a awesome and addicting game.I love it!",N
"Great Game! Hands down the best app I have. Really fun strategy game between attacking and upgrading. Plus, now that clan wars have been added makes it a lot of fun to work together with friends to dominate. Thanks Super Cell!",N
"Fun game Great fun game. Addictive, instructive, fair.",N
"Fix It I like the game a lot until the new update came and i can't Play it loads but then it kicks me out Plz fix the problem",Y
"Clash of clans Great app.??",N
"Great game This game is very addictive? Love this game.",N
"Bad I hate this app",N
"AWSOMENESS This game is the best in the WORLD!!!!!",N
"World Dominator Just so much fun",N
"ADDICTIVE not just like any old game, this has been my life for the past few years!!!",N
"RIP OFF This game is fun and all but I bought $30 worth gems and it never gave it which is stupid and won't give my money back",Y
"Best game ever This game is so much fun so I recommend you getting it!!",N
"Pointless but totally worth it Yeah.",N
"Is There Realy A New Hero? I've heard some rumors that there's a new hero\nIt's supposed to be like a hog rider king???\nAre these rumors true?\nI love the new update though it's 100\% awsome",N
"Coc Love it, Looking to see future updates with more troops",N
"Good get it The attacking system is great and it's fun",N
"Attack!!! Fun game",N
"Cool Game Get on with friends and it is that much better!",N
"Family fun Nice app..pretty kid friendly, but fun for adults, too.",N
"Great app but some problems Ever since the new update I haven't been able to even open the app and hope you would work on that.",Y
"Great game Fun game to play. \n\nIf you're patient you can buy ALMOST everything with gold earned in game.",N
"Unusable As much as I love playing this AMAZING game as much as the next guy\nI cannot able to get to my village whenever it's on the loading screen it crashes and I play it on a iPod 5 with the iOS 8\nSo plead to the creators to fix it\nI can't leave my village with its defense down and constant getting raided and can't do anything about\nPLEASE FIX THE CRASHES!!!!",Y
"Game good Game is good",N
"Awesome This game is the beat ge i ever played i love how you can destroy other villages and towns and give troops to ur friends online good job guys",N
"Great app!!!!! Get it!!!",N
"Great game but please fix the issue that I have! I play it on my iphone 4s and whenever i go on it crashes while loading and wont let me play! I have a clan war going on and i cant do anything but sit and listen to all the cool stories that my friends have about it. Overall this is my favorite game of all time but this really frusturates me! Please fix this!!!",Y
"Amazing I can't stop playing",N
"U have to get it If you don't have this game then what have you been doing in life it's so fun10 out of 10 must get.",N
"Highly Addictive Easily waste time with this game...",N
"Great game Very addicting and lots of fun. Make sure you get into a clan and participate in the clan wars and get the war loot bonus.",N
"Awesome, Addicting, 5 stars Most addicting game!! once installed i eventually deleted all other games!! Highly reccomend clash of clans",N
"Clash of clans Good stuff",N
"Very fun This is a very fun game that you can come back day after day!!!! 6 stars!!! : D",N
"Good Take it easy",N
"Fun stuff Fantastic free app. Hours of entertainment in this game.",N
"Amazing!!!! Truly love everything about this game,it's like crazy addictive world your in and u simply don't want to come outside",N
"Be Aware This game is so addictive!!!",N
"Clash of Clans Great game. Constant updates and more to come make the game always fun to play",N
"Addictive Awesome game, wish it was easier to get gems",N
"Love it! Good fun! My entire family is addicted.....get the kids an iTunes gift card though, they are going to need it!",N
"CRASH of Clans Game has been crashing frequently when I begin an attack, causing a loss and loss of trophies!",Y
"Clash of clans I really enjoy this game",N
"great game great game!!! so much fun!!! no lag!!!",N
"Coc Man... Too much time but sooooooooo addicting! Too much fun",N
"5 Star Awesome So when I first got the game I didn't understand anything and thought it was the worst game ever. Then my brother told he to get it (many months later). So when I got it, I fell in love it (after I went to him for advice more than 10 times). I have been addicted and can't stop playing it! Better than any piano tiles game!",N
"Boobies This game is almost as good as tities",N
"VERY DISAPPOINTED in your staff *******************. SERIOUSLY?!?!  All these complaints about the app crashing, and your next update is a Halloween one?!  I haven't been able to get on for 3 weeks!  Sorry... You've lost another customer.\n\nSincerely, \nSomeone who has spent $65 on this game.",Y
"Horrible update Wow what a crappy update. Game won't even load now.  Fix this please",Y
"Great game, super addictive Love Clash of Clans... This game only gets better each upgrade. Supercell always fixes glitches fast and efficiently. Very addictive game and lots of fun to play with all your friends. I highly suggest downloading and starting a clan today! You won't be sorry!!",N
"Awesome game I'm having a problem in the loading screen it puts me on the home screen",Y
"Perfect One of the best games ever!!!!! ????????",N
"Clash Great app.  A lot of fun to play without all the blood and gore of the video games.  Good job!",N
"Awesome app! Great game to play. Just download it!",N
"Clash Ocay you can made more trops",N
"Awesome Awesome game love it can't stop playing it.",N
"Addicting Been playing over a year now. Still addicted to it",N
"Great! An idea This Is a great app I love it! I have a troop idea- A troop that's specific target is Town Halls.",N
"Clash I like the game but it won't let me download the update and I'ts been a whole that I haven't gotten to play:(",Y
"Great Game Strategy game that is always entertaining. Love it.",N
"Clash of clans Fun game! Would suggest to friends.",N
"TarLoten Crashes on startup. Well done!",Y
"Great game Great game all around but you should a like dark oil or some new kind of currency",N
"What a game I love it!!! I love this game I spend most of my day playing this game",N
"WARNING: This game will take hours of your life away from you This game has a great beginning, the upgrades take less than a week, no one attacks you, and the goblin missions are easy. At my level every upgrade is taking over 24 hours and even with four builders the game barely moves.\n\n Besides that this game is pretty solid and it is definitely worth a try.",N
"Crash It doesnt work",Y
"First review New update is awesome",N
"This game is awesome Love it",N
"Good Good game",N
"BEST iPHONE GAME! This is the best game I've played on iPhone.",N
"good fun",N
"Best Game Ever Created I've never gotten tired of clashing. Can't put it down and don't intend to",N
"Clash of clans Great game",N
"Awesome Yay yay yay yaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaayayayayyayayayyayayyayyayyya",N
"CLASH OF CLANS...BEST GAME EVER!!!!!!! Get it",N
"Great game It starts off really strong allowing you to move up quickly and then it gets hard to move up without paying money but it still is a great game.",N
"GREAT GAME this game requires patients when your upgrading your town but it's very fun",N
"Great Good game. Fun to play. Brand new clan I just started. Level 75+ Adults only. Look up Saint's. Max level troops. ?? Look for me (walkashaw)",N
"It's lame I get bored of it sometimes",N
"Best game Besttttt",N
"Great game Very addicting",N
"Great game Other than all of my troops attacking random buildings instead of the more important ones, this game has a great concept, and is easy to keep up with. There are days where I don't play at all and it has little to no effect on my village.",Y
"CoC Tuff to start but fun to plan if you have time to come back over and over everyday. Generally enjoyable",N
"Clash of Clans Fun game !!",N
"Clash It's a fun game and just gives you something fun to do when your bored",N
"good but bad this game is really fun but it is full of people hacking it!!!!!!",N
"clash of clans this was the best game on my iPad!",N
"The best and most addicting game I've played in awhile This game is awesome even tho it has some minor setbacks it is still fun as a twelve year boy playing this with friends in the same clan 10/10 best game!",N
"Great game!!! Addictive!",N
"Some people can't get in People are texting me that they can't get on clash ( friends) idk what's wrong please make an update to fix their problem by the way I have dragons now :) thanks u",Y
"Best game ever Awesome",N
"Wow Wow. This game literally changed my life. Wow.",N
"Addicting I have been playing for a while now...lvl 91 in game. Waited until I knew for sure...great game",N
"BEST GAME EVER BUT ITS CRASHING Hey guys this game is the best ever but it saddens me because I can't even get on it anymore! It keeps crashing whenever I try to get on! The loading thing only gets to half then it starts to turn black and then it crash, going back to the homescreen! I haven't been playing for 4 days cuz of the crashes and my clan is very strict and might kick me! Plz fix it so I can play again!!! THANK YOU!!!!\n\nP.s. I am a level 81 and I'm at a clan called CyberCommandos",Y
"How fun! This is very very exciting game!",N
"Clashes  of clan's My name is nickie797 the game that I play with is awsome game it is for kid 's and for all Agnes.",N
"This app Is very good app??",N
"I can't log in!!!!!!!!! I've tried over and over to log in and I can't it just loads and loads im so mad every time i try and log in I have full bars of wifi and I even tried using data it still does not work plz fix this!",Y
"Greatest app ever created! Absolutely addicting & so much fun. I love Clash.",N
"Awesome!! Awesome and highly addicting game.",N
"Awesome!!! Yay",N
"Fun and Addictive I have been gaming since Atari and I can say without a doubt, this is one of the most engaging and addictive games that I have played on any platform. \nI have been playing this game for nearly a year and can say that you can advance rapidly if you know how to raid. At my level of experience i raid 250k of each resoirce per raid. You do not need to spend cash on this game to advance, but it is nice for speeding up some upgrades ata higher levels. \nGreat game i recommend it to anyone",N
"Love the game it is awesome!!!!!!!!!!!!!!! I LOVE THE GAME I PLAY IT A LOT AND I LIKE IT SO MUCH NOW 2 OF MY FRIENDS PLAY IT BUT SOMETIMES IT SAY CONNECTION LOST WHEN I ATTACK!!!!!!!!! 5 STARS",Y
"Notifications This game is fun and all, I'm giving it 3 stars because it annoys me that whenever I get a notification from it, once I open the app, the little notification number doesn't go away until I close the app and open it again. It's not really a big deal, but it really annoys me. And I'm sure it's easily fixable. So please fix it.",Y
"Amazing game! Must play ! I love this game ! If you don't have it , get it !\nI'm addicted lol ??",N
"I love this game I PLAY THIS GAME EVERYDAY PLAY IT WORTH DOWNLOADING. ??It",N
"lots of fun. good times all around",N
"Loads of fun Love it",N
"Horrible I can't login.",Y
"Awesome Hello",N
"Supersell's worst update ever!!! Horrible update, they just stripped away everyone who has put time, effort, and money into leveling up heroes, .. So disappointed with this update and how they try to hide how they make my level 40 king into a level 20! saying they readjusted strength of heroes. Many have put so much work into their heroes and it does not make sense. Heroes went up to level 30, then supersell doesn't think they are strong enough so adds another 10 levels to make it level 40.. With this update they make max heroes as weak as a level 20!! Good job supersell, .. The genius who thought up this idea should be fired!!!",N
"Lost connection Sometimes when I am raiding it sais lost connection. then when I get back on the game it sais I lost the raid even though I had 1 or 2 stars already. I am loosing trophies because of this.",Y
"forced close problems I love the game but for some reason the game will load up then just go black and goes back to the home screen like some sort of forced close. I don't know why I try everything but can't even open into the game.",Y
"Heroes are now useless This game gets less fun every time a major update occurs. Really wish I never invested so much time.",N
"Great games Can't stop playing, keep up the good work",N
"Clash of Clans The new update makes it crash every time it tries to load",Y
"Locking up Latest update is locking up.  Very frustrating.",Y
"Well made game Nice!",N
"Sneaky I got the game because my dad has the game and I'm planning to sneak up on him and attack",N
"Good ! This new update is very helpful",N
"Great Amazing improvements! Giving the people what they want? I- excuse me, i mean we love it!",N
"One star Pay to play game , not recommended.",N
"Great!! This game offers a great little getaway from reality for a couple minutes at a time!",N
"Great Game! Love it! Had no issues with it so far! It's also extremely addictive but you only have to look at it like once or twice a day to maintain progress.",N
"It's fun Yup",N
"Best game ever Best multiplayer game ever play with friends anywhere in the world love it",N
"Bored Getting soooooo bored of it now can we get something besides a new wait time",N
"Clash of Clan Review This game is the best game that I have ever played on my iPod ever!! I love everything about it! I hope that the game continues to expand and grow, however one thing I do think would benefit is lowering the prices of the gems a little because right now it is very expensive.",N
"Just awesome The best game for devices best stradegy game and u feel like a leader when your playing it",N
"I bought gams .. Never gets them :(",Y
"Time All about time. War time. If you fail to plan, you plan to fail. No time for slowpoke.",N
"freak!!!!! every since the last fix bugs or crash on start update my game doesn't let me on. it crashes while it loads. i have tried to delete and download again but it does not work.",Y
"EPIC Such a fun game, I could play it all day!!!!",N
"Clash of Clans Best and most afflicting game I have played!",N
"Clash of Clans Rules! Best game/app you can possibly download!",N
"Awesome Great game fun to play",N
"Love playing this game Really fun game. Excited to play high level units!!",N
"Awesome but now I can't play :( Ever since the last update the app keeps crashing. It was fine before even with the wifi connection I had, please check that out for me.",Y
"Good Nice game",N
"BEST GAME EVER HANDS DOWN!!! This games amazing i love the troops and upgrades clearly the best game ever supercell keep on makin amazin games you guys ROCK.KEEP ON CLASHIN!!!",N
"Good game get it now This is the 1 of the best games I played. I'm 10 but I like it beacose it's all about strategy and you can join clans and chat with people and clan wars is so fun.",N
