@relation compendium

@attribute Description String
@attribute Category {Bug,Feature,Support}
@attribute Ann1 {Installability,Integrity/Security,Migration,Reliability,Performance,Documentation,Requirements,Usability,Capability}
@attribute Ann2 {Installability,Integrity/Security,Migration,Reliability,Performance,Documentation,Requirements,Usability,Capability}
@attribute Ann3 {Installability,Integrity/Security,Migration,Reliability,Performance,Documentation,Requirements,Usability,Capability}
@attribute Ann4 {Installability,Integrity/Security,Migration,Reliability,Performance,Documentation,Requirements,Usability,Capability}
@attribute Ann5 {Installability,Integrity/Security,Migration,Reliability,Performance,Documentation,Requirements,Usability,Capability}
@attribute MostCommon {Installability,Integrity/Security,Migration,Reliability,Performance,Documentation,Requirements,Usability,Capability}

@data
"Visual feedback pressing Scribble save button Originally requested Selvin said There visual feedback press toolbar button using Scribble something actual workshop site first time would good showed 'being pressed image something since fairly significant action. Michelle said added hour glass cursor saves contents fast never saw even thought quite lot scribbles. sure else do. almost instant. said Along lines Drawings saved dialog button hit Enter exit","Feature","Usability","Usability","Capability","Usability","Requirements","Usability"
"Give print option turn printing background image colour. Unknown originator request","Feature","Usability","Requirements","Capability","Requirements","Requirements","Requirements"
"prioritize rank nodes Originally requested John Barrett spent time showing Compendium someone Mind Manager. While saw differences advantages Compendium also asked several features available including ability prioritize rank nodes second pass brainstormed ideas","Feature","Requirements","Requirements","Capability","Requirements","Requirements","Requirements"
"Drag drop url map click map new node","Bug","Capability","Usability","Capability","Usability","Requirements","Capability"
"Icon Library Would possible add Icon library standard distribution Mindmanager developed pretty good library years. Icon structure distribution community could start contribute basic icons. Suggested subdirectories People different professions men women famous people Meetings people meetings Sports International symbols sport Places Well known landmarks buildings plants Business charts flipcharts Technology computers telephones stars planets rockets space shuttle Culture Art artist pictures dancer sculpture architectures Miltary tanks planes soldiers Transport cars trucks trains airplanes","Feature","Requirements","Requirements","Requirements","Requirements","Requirements","Requirements"
"Have background option node labels Currently choose color spectrum black white. There also clear color background option. especially needed 're using graphical backgrounds label color n't interfere stand background","Feature","Usability","Usability","Usability","Capability","Requirements","Usability"
"Formatting nodes reflect action occurrence Firstly I'd like congratulate team great product. think would great could options type node would reflect happened statement. For example Question Answer Decision Nodes could option marked Open currently displayed Resolved tick displayed next node Rejected cross displayed next Pros Cons could greyed longer valid arguments still wants show information. wouldn't need extra node sets might could right click set node accordingly. Please feel free email need details concept","Feature","Usability","Usability","Usability","Requirements","Requirements","Usability"
"Text Inside Stencils Feature ability put text inside stencil bottom For example oval circle shaped stencil one might want put text inside oval circle rather bottom","Feature","Usability","Requirements","Usability","Requirements","Requirements","Requirements"
"URL links could favicon.ico default might nice options one web links addition current image icon page specific shortcut icon x.ico page head site favicon.ico scraped image URL enabled said item pulled default creation link would cool. Not sure scrapes favicons usually either http linkedsite.com favicon.ico site default. page override appears head follows HEAD LINK REL=SHORTCUT_ICON HREF=somedir image.ico HEAD","Feature","Usability","Requirements","Usability","Requirements","Requirements","Requirements"
"Tablet Support asked weeks back whether known bugs running Tablet version Windows. When trying draw links cursor reverts pen scribbling effectively means product unusable. Instead link get line drawn top canvas","Support","Usability","Capability","Capability","Capability","Migration","Capability"
"Ability populate reference node images references one might hard would really convenient able select group Reference nodes add icon image reference file one action. Maybe Paste Special","Feature","Usability","Usability","Usability","Requirements","Requirements","Usability"
"Keyboard shortcut toggling image rollover often want repeatedly midst presentation mapping session pain toolbar everytime. shortcut would convenient","Feature","Usability","Usability","Usability","Usability","Usability","Usability"
"Make Web Maps tooltips optional would like choice whether Web Maps exports would Click icon view full size image Click label view node details tooltip rollover. For exports prefer options tooltip filename nothing defined text","Feature","Usability","Usability","Usability","Requirements","Requirements","Usability"
"Link label positioning needs flexible. Oringinally requested Ricky Ohl n't know realistic something noticed might useful ability change position linking line labels. labels link lines supports challenges could positioned along line white space appropriate position. When nodes bunched sometimes labels get hidden. move node away labels visible always appropriate","Feature","Usability","Usability","Usability","Usability","Requirements","Usability"
"Image rollover able scroll large images","Feature","Requirements","Requirements","Usability","Requirements","Requirements","Requirements"
"Improved support turning node subtree map node conta Originally requested Chris Maitz like improved support turning node subtree map node contains subtree. would nice new map node automatically get name linked way original node linked. Ideally would also continue look like original node type perhaps little map icon superscript image example question would still look like question would know map inside","Feature","Usability","Usability","Usability","Usability","Usability","Usability"
"smartboard","Feature","Requirements","Requirements","Usability","Requirements","Requirements","Requirements"
"Text analyzer","Feature","Requirements","Requirements","Usability","Requirements","Requirements","Requirements"
"Excel integration","Feature","Requirements","Requirements","Usability","Requirements","Requirements","Requirements"
"Visio integration","Feature","Requirements","Requirements","Usability","Requirements","Requirements","Requirements"
"Windows Office integration","Feature","Requirements","Requirements","Usability","Requirements","Requirements","Requirements"
"AutoWiki request cluster features intended enable Compendium better support distributed dialogues. famous notorious grass roots organizer Saul Alinsky said better ask want get ask n't want get it. spirit think lay full cluster features would like ideally. corresponding number people elsewhere mutual desire able build dialogue map collectively perhaps asynchronously manner analogous construction Wikipedia. know people working least thinking working goal. version Compendium supports dialogue maps created fashion would like add AutoWiki feature. would look something like start map editable group member good restore history functions When AutoWiki feature turned require map constructed node line named meaningfully using common wiki CamelCase naming convention. would need special procedure add names turn existing map without them. meaningful names would used addition place existing automatically generated tags linking purposes. AutoWiki automatically create reciprocally connected wiki page name usual assortment wiki features tools common text dialogue text. Within wiki PageName creates link named page usual way. But page created AutoWiki PageName link top page takes named link node dialogue map. Each page would also assortment finders tools accessible it. could include automatically generated pairs links one node connected one corresponding page pop index pages page node name occurs link automatically generated alphabetical list pages nodes system. sure documentation evidence attached map wiki page. also sure page documentation attached page node deleted. Maybe bin deleted structures someone professional programmer may kidding hard would create system want observe wikis generally open source wikis easy standard features creating page specified name automatically creating live links page wherever wiki name used. Most also structured discussion features mentioned options. result think would possible add lot functionality Compendium modest investment effort. And course would need every thing mentioned first pass. For example finders tools could added later. features embodied request ones think critical allowing uses Compendium foster dialogs distributed participants ability give node link unique meaningful tag handle ideally chosen convenient way insert link another website easy way distributed participants learn handles associated url perhaps window copied pop hover link node line specified handle. With facilities moderator could elaborate dialogue map emerges discussion related site manual easy intuitive tools linking back fort map discussions take place related site wide range formats could constructed. would even nicer tools could automated course. And would nice several alternative visual informational structures related dialogue could used threaded discussion wiki yahoo group style forum etc. though think far important get one working well get several sort work time. Returning moment question allowing distributed users build map nothing contribute technical side discussion want add word two perspective prospective user. There cases want bring group people together engage discussion make decision commitment people involved limited organizers direct authority participants resources compensate threaten them. _typical_ situation collaborative processes NGO setting work common one academia groups settings. setting essential cost entry low rewards immediate. Organizers sort process may significant investment making well asked spend time climbing learning curve. Also participant bought process become invested methods outcome participants often willing devote genuine resources making work. But buy takes place even quite minor barriers cause potentially valuable participants put energy elsewhere. Something would put category minor barrier significant one would requirement participants install piece software learn it. For line dialogues deal daily basis would enough guarantee process collapses gets properly started. would therefore strongly urge way make system work web based interface system uses software people believe familiar even cost functionality. worth observing people generally feel like know browser even though lack technical understanding process. Moreover observed familiarity result people feeling like using software know even procedure remote page quite different often do. especially true actions identified common actions people take web pages making choice point click filling form etc. Remember people know yahoo groups like using wikis graphical representation system. Andrew Hoerner hoerner redefiningprogress.org","Feature","Requirements","Requirements","Requirements","Requirements","Requirements","Requirements"
"Mighty Mouse wheel scrolls right left Not sure fair call bug little wheel n't scroll maps left right. ball mice trackballs scroll maps directions Windows Can They","Feature","Usability","Usability","Usability","Capability","Usability","Usability"
"Content focus lost switching applications copying text Note node text content PDF. switch Alt tab compendium pdf reader. When return compendium focus always moved node content text widget view. annoying forces unneeded mouse movement click restore focus text entering","Bug","Usability","Usability","Usability","Usability","Usability","Usability"
"Bug pasting new Activity map using MySql Created attachment id=445 details Log file wexceprt log_25 July 2011_11 41.txt Nodes copied pasted new Activity map caused error. set nodes links copied pasted included shortcut node might caused error. Log file atttached","Bug","Reliability","Capability","Usability","Reliability","Reliability","Reliability"
"Scaling view disturbs alignment nodes aligned centre 'Fit page zoom align nodes centre everything looks ok. However change zoom 100 nodes alignment. thing happens align nodes zoom set 100 change zoom 'fit page ie. nodes aligned centre zoom aligned zoom. Note beguin try trace problem inserting debug code UIViewPane.UINode node double scale","Bug","Usability","Capability","Usability","Reliability","Capability","Usability"
"verbose message error message start database could started When trying launch Compendium get error displayed Exception UIToolbarManager.UpdateProfileChoiceBoxData null Deleting .properties files toolbars.xml n't help. What else need change delete get Compendium back running","Feature","Reliability","Documentation","Usability","Usability","Reliability","Reliability"
"HTML Outline export order Originally reporterd Jeff Conklin When export nested set maps full depth order maps appear outline export determined vertical displacement top map. Can export order maps depth first following link structure map. What maps nested maps current algorithm appears export maps top level nested maps. Again meeting report purposes least would congenial text sub maps appear immediately following text containing map depth first traversal. What map linked sub maps connected nested sub maps contained cases together leave one clever designers Compendium Institute","Feature","Requirements","Requirements","Capability","Capability","Requirements","Requirements"
"Change search dialog date fields drop boxes Search dialog Date Author tab replace Date created Date Modified fields drop day month year boxes help confusion different countries using different date formats","Feature","Requirements","Usability","Usability","Usability","Usability","Usability"
"Ability search Link labels Add extra checkbox Search dialog inlcude link labels search","Feature","Requirements","Requirements","Usability","Requirements","Requirements","Requirements"
"Search toolbar google style quick search key word","Feature","Usability","Usability","Usability","Usability","Requirements","Usability"
"Problem node labels drawing one line far hightlighting ove Originally reported Selvin","Bug","Usability","Capability","Usability","Usability","Capability","Usability"
"n't quit Compendium Originally reported Selvin Comp. running Mac idle state sleep etc.. Now n't quit Quit File menu dimmed Cmd n't work. See attached screenshot. File Close n't work either. Other actions opening nodes etc. seem work. However clicking close box quit app","Bug","Reliability","Capability","Usability","Reliability","Capability","Reliability"
"Label Text right node label positioning options","Feature","Usability","Usability","Usability","Usability","Requirements","Usability"
"Search across databases Add ability search labels text across databases selecting search search all. Why There may group databases commonality work segregated separate convenience clarity. may therefore want find data common across entire databases nodes within single database","Feature","Requirements","Usability","Usability","Requirements","Requirements","Requirements"
"show max info shared display way show dialogue maps densely using one line per question answer pro con reference link would Compendium instead plain editor. How show conversants much info possible shared display indented outline form via plain editor Uses editor n't Compendium improved Compendium dense display feature","Feature","Requirements","Requirements","Usability","Requirements","Requirements","Requirements"
"Slow performance pasting multiple map nodes Long delay pasting maps multiple nodes transclusions empty view copy. Took minutes complete. Nothing log file","Bug","Performance","Performance","Usability","Performance","Performance","Performance"
"Change way link arrows drawn drag drop Draw link arrow starting point 'from node right clicked rather always upper left corner looks awkward kind misleading","Feature","Usability","Capability","Usability","Capability","Usability","Usability"
"Undo label color change. Need Undo label color change. There n't one","Feature","Requirements","Requirements","Usability","Requirements","Requirements","Requirements"
"Ability easily add custom headers footers Includes HTML would great ability specify header footer stylesheet files could default persistent options HTML export. would allow easy addition custom look feel CCL web page top navigation header info CCL users exports. n't understand stylesheets much belief would allow customization. would appear export options dialog perhaps could stored database allow easy sharing. They checkbox option HTML header file ______________ HTML footer file ______________ HTML stylesheet file ______________","Feature","Requirements","Requirements","Usability","Requirements","Requirements","Requirements"
"Create node align arrange toolbar","Feature","Requirements","Requirements","Usability","Requirements","Requirements","Requirements"
"Slider features controlling view history maps way watch evolution map. slider would let start beginning map watch nodes created edited. would give traceability. gives people much context happens meeting would let Compendium presentation tool Would let refactor map also show evolved previous state. Could annotations","Feature","Usability","Usability","Usability","Requirements","Requirements","Usability"
"HTML launching images code What see links javascript openFile. What like see plain vanilla HREF IMAGE usual browser controls right click open new tab","Feature","Usability","Usability","Usability","Usability","Usability","Usability"
"Dropping Stencil icon another node change icon image stencil image. action dragging stencil image onto existing node result existing node icon changed image stencil. new node would created. Compendium would update path existing node icon image point image associated stencil dragged it. existing node already node icon would replaced. would useful things quickly changing node images rejected ideas another icon stand etc. original idea discusion Tom","Feature","Usability","Usability","Usability","Capability","Usability","Usability"
"Docking map windows sort automatic tiling windows put corners. locking layout. make 190 toolkit could done Eclipse","Feature","Requirements","Requirements","Requirements","Requirements","Requirements","Requirements"
"Ability set default project Project Dialog. Originally requested Selvin would good could least access options Project dialog. Doing things like editing name project says reset default project n't give way","Feature","Usability","Usability","Usability","Usability","Requirements","Usability"
"Ability open Project Project Dialog Originally requested Selvin","Feature","Usability","Requirements","Usability","Usability","Requirements","Usability"
"Preseve node selection right click menu actions Originally request Selvin Often performing action multiple nodes like changing type want something else afterward like moving them. Right deselect multi node Change Type action probably actions though one looked at. rather maintain selected state nodes","Feature","Usability","Capability","Requirements","Usability","Usability","Usability"
"More options pasting node view already in. Originally requested Selvin try paste node onto map already highlight node even better ask want Clone Shortcut say highlight","Feature","Usability","Requirements","Requirements","Usability","Requirements","Requirements"
"Search dialog would good text listing search Originally requested Selvin something like Keywords maarten simon Tags person Types Map List. Even Tags list since course tags list visible would really help know 've already selected","Feature","Usability","Usability","Requirements","Requirements","Requirements","Requirements"
"Option Web Export show page dates details window Originally requested Selvin","Feature","Usability","Requirements","Requirements","Requirements","Usability","Requirements"
"ability export file format importable Excel 2000. Originally request John Barrett spent time showing Compendium someone Mind Manager. While saw differences advantages Compendium also asked several features available including ability export file format importable Excel 2000","Feature","Requirements","Requirements","Migration","Requirements","Requirements","Requirements"
"Search preserve original values goes Originally requested Selvin Search Again preserve original values usually want tweak something try Michelle thought clear","Feature","Usability","Usability","Requirements","Capability","Usability","Usability"
"Reference nodes images could link indicator heavy nodes images personal organiser find images make much easier see at. Often task event website associated sometimes n't gotten around making one yet. Therefore would ideal little indicator appears run cursor node indicates reference associated it. would similar VERY HANDY asterix nodes text. indicator could time might appear cursor run it. way know yes website info available double clicking program revolutionised organisational life 've used DOZENS information managment PIM programs searching right one. 've found","Feature","Usability","Usability","Requirements","Usability","Usability","Usability"
"Importing outlines wish import outline document basic map. basic tree structure could made headings text generating nodes paragraphs sentences sections etc. course would unlabeled could used starting point document analysis. would label apply correct categories create questions label etc. information. possible better question interest developers Compendium certainly could something like this. Compendium great orgainizing flow thought painfully slow get information","Feature","Requirements","Requirements","Requirements","Requirements","Requirements","Requirements"
"cut copy node n't paste Specifically node image 've especially noticed want paste back window view changed mind cutting","Support","Reliability","Capability","Capability","Capability","Reliability","Capability"
"able drag image folder node make image node Ideally would good able drag image existing node make image node. least able drag ref node. But would good ANY node could image associated increasing power considerably. perhaps could extra type node image node. suggestions stated would better tho","Feature","Usability","Requirements","Requirements","Usability","Requirements","Requirements"
"Have hourglass indicator first opening Login Project dialogue Since seems take seconds machine would good visual indication system something","Feature","Usability","Usability","Requirements","Requirements","Usability","Usability"
"Produce reports via number options example Open Office Word","Feature","Requirements","Requirements","Requirements","Requirements","Requirements","Requirements"
"Ability automatically unzip zipped sql backup reference files images Similar zipped xml files. chat excerpts note entails additional complexity. Bachler Michelle projects close Bachler Michelle restore backup Bachler Michelle ould close currently open project Bachler Michelle Ask wherether wnat restore new restore exisinting albert.m.selvin verizon.com right Bachler Michelle ask login restore exisiting Bachler Michelle Quite complex Bachler Michelle would need new dialog","Feature","Requirements","Requirements","Requirements","Usability","Requirements","Requirements"
"Show hide links could equally categorized Exports context thinking in. great able free form placement nodes anywhere map could make layouts traditional IPA tree format link lines running place. But course lose ability nodes know nodes related even worse n't outline export probably show node relationships correctly Outline view right relationships. could get around problems ability Show Hide links indvidual link basis way node formatting worst map level. would allow relationships correct outline export view clutter map visually except 're working it. best worlds","Feature","Usability","Requirements","Usability","Requirements","Requirements","Requirements"
"Mix match exports Simon long ago asked capability produce types exports web maps web outline xml one go. get could also capability say could sort Advanced tab want map export one outline one xml others","Feature","Requirements","Requirements","Requirements","Requirements","Requirements","Requirements"
"Rulers think time come add Rulers options View menu. would open rulers top left right sides window. would good capability 'track mouse pointer along ruler move. Like rulers inches centimeters scale zoom etc. would allow finer control placement objects screen","Feature","Usability","Requirements","Requirements","Requirements","Requirements","Requirements"
"Allow Web Export Outline Maps export non view nodes Currently view nodes exported Outlines. Sometimes useful non view nodes top level HTML export","Feature","Usability","Requirements","Requirements","Requirements","Requirements","Requirements"
"print dialogue remember settings print dialogue keeps changing paper back forgets margin settings. session remember settings print commands. would nice remembered sessions since paper size switch letter","Feature","Usability","Capability","Requirements","Usability","Usability","Usability"
"Export tags list outline format Tags grows usefulness would quite handy able export tags list shown groups simple outline format. would separate XML export tags","Feature","Requirements","Requirements","Usability","Requirements","Requirements","Requirements"
"Restore project adds Note node details When restoring project backup inserted every carriage return Note node details. For example Text line Text line restored Text line nText line","Bug","Usability","Capability","Usability","Capability","Capability","Capability"
"File browser allow thumbnails view Inside node properties tab contents button background icon image selection shows file browser allow browse images thumbnail. makes difficult choose image remember name","Feature","Usability","Usability","Usability","Usability","Usability","Usability"
"Help search index lists results twice reported user. look building help indexes 'll put patch people get want fix help Beta out. Michelle","Bug","Documentation","Capability","Performance","Capability","Capability","Capability"
"broken interface element language references UITrashViewDialog.closeButtonMenmonic UIImages.imageFiles","Bug","Reliability","Capability","Usability","Capability","Reliability","Reliability"
"When pasting embedding node large view needs visi spending lot time hunting nodes paste node label match large maps 're view anywhere visible area. think issue already reported could n't find it. Maybe Focus Node would help remembered kind unnecessary extra step unless node already exists view paste node label match course. Thanks","Support","Usability","Usability","Usability","Usability","Usability","Usability"
"Failed open new activity node using remote MySQL Created attachment id=443 details Log file Using CompendiumLD laptop MySQL database desktop machine. Things working fine morning went lunch. return created new activity nodes. When double clicked open one new activity nodes get Error Exception ProjectCompendiumFrame.addViewToDesktop Can initialize View null java.lang.NullPointerException see attached log file. tried creating open activity nodes result. Could caused drop network connection","Bug","Reliability","Installability","Installability","Reliability","Reliability","Reliability"
"Compendium n't launch compendium installed windows mac machine. launches neither. windows get error says windows n't find javaw. Mac never get past Compendium initializing screen. Please advise. run windows professional bit Mac latest Please Advise. Thanks","Support","Installability","Installability","Installability","Installability","Installability","Installability"
"Make label matching feature non case sensitive Originally reported Selvin noticed label matching feature seems case sensitive start typing booster n't match Booster. non case sensitive","Feature","Usability","Capability","Usability","Usability","Capability","Usability"
"Snap Grid order align keep aligned snap grid feature would helpful. Please visit Compendium see find helpful. want website visitors another method understanding functions inter relationships 'system websites'. want thank making fine product available. 've already started another webmaster two law students use. would like map example website design visual clarification feel free so. would request provide link back http www.prospectingmachine.com anchor text 'real estate websites","Feature","Usability","Usability","Requirements","Usability","Requirements","Usability"
"Opening concurrent multiple Derby databases fully support Ron Wheeler request desirability opening several Derby databases simultaneously one Compendium installation. supposed entered feature request Bugzilla find it. option using MySQL convenient. used MySQL past computer knowledge basic happy switch Derby would like continue","Feature","Requirements","Requirements","Requirements","Requirements","Requirements","Requirements"
"Ability set preference node type gets created text drag generally want Answer Note others may want something different good option set","Feature","Usability","Requirements","Usability","Usability","Requirements","Usability"
"Aerial view map right click menu","Feature","Usability","Requirements","Requirements","Requirements","Requirements","Requirements"
"Saving complex searches xml file Could xml file per database. Would relate fancier saved searches parameters. Could saved part backup","Feature","Requirements","Requirements","Requirements","Requirements","Requirements","Requirements"
"Select one nodes convert copyable text could pasted email message document","Feature","Usability","Usability","Usability","Requirements","Requirements","Usability"
"Prcocess drag drop text node types great able set preference question mark end dropped text becomes Question node","Feature","Usability","Usability","Usability","Usability","Requirements","Usability"
"Save reference info changing node type reference something else. When Changing Type Ref node another type optionally put paths filenames Ref Image link Detail converted node data n't lost","Feature","Requirements","Requirements","Requirements","Usability","Requirements","Requirements"
"Drag nodes bewteen views Choice move clone shortcut transclude ctrl drag open popup Nov 2005 Agreed Alt key feature point may revisit part larger drag drop behavior redesign. There issue know 're intending drag view vs. move node within view","Feature","Requirements","Usability","Usability","Usability","Capability","Usability"
"print lists row numbers","Feature","Usability","Requirements","Requirements","Requirements","Requirements","Requirements"
"Add alt ctrl shift+arrow keys quick linking arrow would find nearest northern node left arrow nearest western node search patterns upto halve way two Using clock analogy North 10.30 1.29 East 1.30 4.29 South 4.30 7.29 West 7.30 10.29","Feature","Usability","Usability","Usability","Usability","Requirements","Usability"
"Deleting node views Has sure also number views button see ones Should Trash purged","Feature","Usability","Usability","Usability","Requirements","Requirements","Usability"
"Configurable ouput order HTML Outline export","Feature","Usability","Usability","Usability","Usability","Requirements","Usability"
"Write Word friendly XHTML export","Feature","Requirements","Requirements","Migration","Requirements","Requirements","Requirements"
"Ability reorder stencil set items would good way order items stencil like 'move move","Feature","Usability","Usability","Usability","Requirements","Capability","Usability"
"Deep copy clone","Feature","Usability","Requirements","Usability","Requirements","Capability","Usability"
"Deep copy shortcuts","Feature","Usability","Requirements","Usability","Requirements","Capability","Usability"
"Hot key open Map Contents Originally requested Jeff Conklin QuestMap Ctrl Tab takes Contents Window Map 're in. Very handy. Note Nov 2005 Enter key white space consistent node behavior","Feature","Requirements","Usability","Usability","Usability","Usability","Usability"
"Improved export Word 've discussed couple times style export RTF even PDF. even making small changes Outline export eliminate extra line breaks forth. However let make sure things like outline numbering done styles rather hard coded text. glorious Word program largely converting hard coded numbering real Word numbering could turned n't want numbers","Support","Usability","Capability","Migration","Capability","Capability","Capability"
"Give users ability assign keyboard shortcuts certain wondering giving ability assign keyboard shortcuts certain objects similar Tools Customize Keyboard interface Word. way could assign shortcuts example different Codes groups would bring Codes dialog already showing group even individual Codes would assign Code selected nodes. hit key already removes","Feature","Usability","Usability","Usability","Usability","Usability","Usability"
"More Reporting options","Feature","Requirements","Requirements","Migration","Requirements","Requirements","Requirements"
"undo options Undo paste text also need overhaul undo system general deal messaging etc. Undo paste text important confounds expectations able","Feature","Usability","Requirements","Usability","Requirements","Requirements","Requirements"
"would nice XML import little smarter handling overwr Currently import node node already map import overwrite old node. would better Compendium returned warning asked whether wanted assign new node not. notifying transclusions could dozens hundreds transcluded nodes single import file. Would want tool notify every one clarify. notification transclusions node clash. import file one QuestMap database contains node 1234 import file different QuestMap database also 1234 latter overwrites former former becomes transclusion latter. good want import tell conflict ask whether want reassign new node. Nov 2005 Need detail look feel","Feature","Requirements","Capability","Migration","Capability","Capability","Capability"
"Touch Graph View Originally requested Simon Buckingham Shum one point verge implementing self organising graph view show view hierarchy using TouchGraph http touchgraph.sourceforge.net imagined tab foot main window could switch moment. would show view centred current view showed maps contained. Alternately though practical would way navigate node parent. possible parents guess one could right click title bar window Show Containing Views","Feature","Requirements","Requirements","Usability","Requirements","Requirements","Requirements"
"Improve display scrolling dragging edges map Originally requested Selvin Necessary moving nodes around view larger window","Feature","Usability","Usability","Usability","Capability","Usability","Usability"
"multiple row drag lists show positioning dragged","Feature","Usability","Usability","Usability","Requirements","Usability","Usability"
"After paste list view scroll location pasted node sort","Feature","Usability","Usability","Usability","Usability","Usability","Usability"
"Send command Originally requested Selvin One things always troubled Compendium matter could one map idea issue record map remember move somewhere else later. What Send type mechanism would allow type scenario right click Send option node want move displays list maps lists basically Find Map List pick map want puts closes dialog returns view Nov 2005 Should Move Transclude","Feature","Requirements","Requirements","Usability","Requirements","Requirements","Requirements"
"Enhancement Option toggle inclusion Reference node link informatio Often paths wrong export files local pointed incorrectly local. Probably also option relative absolute paths filenames path. real URL toggle link export","Feature","Capability","Capability","Usability","Capability","Capability","Capability"
"Extend Transclude New Map Change Transclude New Map Transclude options new map current also map option chosen open Find Map List dialog let choose map open transclude node","Feature","Reliability","Requirements","Usability","Requirements","Requirements","Requirements"
"Full path reference node html exports Originally request Selvin 've spent last couple weeks reviewing 300 pages notes phd database printed html outline export. One thing noticed Reference filenames least URLs include filename whole path 'll say blah.html www.bigshot.org ravings blah.html think reference paths print completely least option. Jan 2006 Make option","Feature","Usability","Capability","Usability","Usability","Capability","Usability"
