classname ; cbo ; dit ; fanIn ; fanOut ; lcom ; noc ; numberOfAttributes ; numberOfAttributesInherited ; numberOfLinesOfCode ; numberOfMethods ; numberOfMethodsInherited ; numberOfPrivateAttributes ; numberOfPrivateMethods ; numberOfPublicAttributes ; numberOfPublicMethods ; rfc ; wmc ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
org::eclipse::jdt::internal::core::util::KeyKind ; 1 ; 2 ; 1 ; 0 ; 136 ; 0 ; 15 ; 2 ; 53.0 ; 17.0 ; 41 ; 1 ; 0 ; 1.0 ; 17 ; 18.0 ; 19.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::core::dom::ChildListPropertyDescriptor ; 4 ; 2 ; 3 ; 1 ; 3 ; 0 ; 2 ; 0 ; 14.0 ; 3.0 ; 15 ; 0 ; 0 ; 2.0 ; 2 ; 4.0 ; 4.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::ast::TypeDeclaration ; 63 ; 3 ; 36 ; 33 ; 351 ; 2 ; 30 ; 391 ; 624.0 ; 27.0 ; 42 ; 0 ; 1 ; 26.0 ; 25 ; 172.0 ; 148.0 ; 3 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::core::dom::ASTRequestor ; 1 ; 1 ; 1 ; 1 ; 6 ; 1 ; 1 ; 0 ; 20.0 ; 4.0 ; 8 ; 0 ; 0 ; 1.0 ; 3 ; 5.0 ; 6.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::search::AbstractJavaSearchScope ; 1 ; 2 ; 1 ; 0 ; 1 ; 2 ; 0 ; 5 ; 0.0 ; 2.0 ; 19 ; 0 ; 0 ; 0.0 ; 2 ; 2.0 ; 0.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::core::search::SearchPattern ; 36 ; 2 ; 18 ; 23 ; 190 ; 2 ; 12 ; 3 ; 1126.0 ; 20.0 ; 13 ; 2 ; 6 ; 0.0 ; 14 ; 244.0 ; 276.0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::core::jdom::DOMFactory ; 4 ; 1 ; 1 ; 3 ; 45 ; 0 ; 1 ; 0 ; 52.0 ; 10.0 ; 17 ; 0 ; 0 ; 1.0 ; 10 ; 34.0 ; 17.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::util::SignatureAttribute ; 6 ; 3 ; 3 ; 3 ; 3 ; 0 ; 2 ; 1 ; 16.0 ; 3.0 ; 31 ; 2 ; 0 ; 0.0 ; 2 ; 8.0 ; 4.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::BinaryMember ; 18 ; 6 ; 3 ; 15 ; 91 ; 3 ; 0 ; 53 ; 127.0 ; 14.0 ; 170 ; 0 ; 1 ; 0.0 ; 10 ; 61.0 ; 29.0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::ast::MessageSend ; 22 ; 4 ; 5 ; 17 ; 136 ; 5 ; 13 ; 384 ; 494.0 ; 17.0 ; 77 ; 0 ; 0 ; 13.0 ; 17 ; 191.0 ; 166.0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::XMLWriter ; 2 ; 2 ; 2 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3.0 ; 1.0 ; 43 ; 0 ; 0 ; 0.0 ; 1 ; 2.0 ; 1.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::parser::JavadocParser ; 27 ; 2 ; 7 ; 20 ; 210 ; 4 ; 6 ; 133 ; 795.0 ; 21.0 ; 46 ; 4 ; 0 ; 2.0 ; 3 ; 171.0 ; 212.0 ; 3 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::eval::CodeSnippetSingleNameReference ; 21 ; 7 ; 1 ; 20 ; 55 ; 0 ; 2 ; 448 ; 591.0 ; 11.0 ; 115 ; 0 ; 0 ; 2.0 ; 11 ; 220.0 ; 156.0 ; 2 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::parser::RecoveredInitializer ; 9 ; 3 ; 1 ; 8 ; 45 ; 0 ; 7 ; 126 ; 166.0 ; 10.0 ; 44 ; 0 ; 0 ; 7.0 ; 10 ; 40.0 ; 39.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::util::WeakHashSetOfCharArray ; 3 ; 1 ; 0 ; 3 ; 45 ; 0 ; 4 ; 0 ; 144.0 ; 10.0 ; 8 ; 0 ; 3 ; 4.0 ; 7 ; 40.0 ; 37.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::ast::Expression ; 108 ; 3 ; 92 ; 18 ; 528 ; 15 ; 4 ; 380 ; 760.0 ; 33.0 ; 38 ; 0 ; 2 ; 4.0 ; 31 ; 281.0 ; 234.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::classfmt::MethodInfoWithAnnotations ; 5 ; 3 ; 3 ; 3 ; 10 ; 1 ; 1 ; 13 ; 35.0 ; 5.0 ; 55 ; 0 ; 0 ; 0.0 ; 1 ; 12.0 ; 13.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::util::ConstantPool ; 3 ; 2 ; 1 ; 2 ; 10 ; 0 ; 3 ; 0 ; 72.0 ; 5.0 ; 22 ; 3 ; 1 ; 0.0 ; 3 ; 55.0 ; 15.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::ast::ArrayTypeReference ; 7 ; 6 ; 5 ; 3 ; 15 ; 2 ; 2 ; 385 ; 52.0 ; 6.0 ; 95 ; 0 ; 0 ; 2.0 ; 5 ; 17.0 ; 12.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::impl::IntConstant ; 5 ; 2 ; 5 ; 0 ; 66 ; 0 ; 16 ; 152 ; 55.0 ; 12.0 ; 41 ; 15 ; 1 ; 1.0 ; 11 ; 14.0 ; 27.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::search::matching::SuperTypeReferencePattern ; 7 ; 4 ; 1 ; 6 ; 28 ; 0 ; 15 ; 61 ; 214.0 ; 8.0 ; 45 ; 0 ; 0 ; 10.0 ; 5 ; 47.0 ; 53.0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::codeassist::complete::CompletionOnQualifiedAllocationExpression ; 5 ; 6 ; 1 ; 4 ; 3 ; 0 ; 0 ; 394 ; 32.0 ; 3.0 ; 102 ; 0 ; 0 ; 0.0 ; 3 ; 17.0 ; 11.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::core::dom::SuperFieldAccess ; 5 ; 3 ; 1 ; 5 ; 105 ; 0 ; 5 ; 95 ; 96.0 ; 15.0 ; 73 ; 3 ; 0 ; 0.0 ; 6 ; 51.0 ; 25.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::ExternalPackageFragmentRoot ; 6 ; 5 ; 1 ; 5 ; 78 ; 0 ; 1 ; 62 ; 56.0 ; 13.0 ; 202 ; 0 ; 0 ; 0.0 ; 8 ; 22.0 ; 20.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::lookup::MethodScope ; 55 ; 3 ; 44 ; 15 ; 105 ; 0 ; 12 ; 274 ; 378.0 ; 15.0 ; 103 ; 0 ; 2 ; 12.0 ; 11 ; 93.0 ; 110.0 ; 1 ; 1 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::CompilationResult ; 31 ; 1 ; 24 ; 7 ; 190 ; 0 ; 24 ; 0 ; 245.0 ; 20.0 ; 8 ; 3 ; 3 ; 21.0 ; 17 ; 72.0 ; 72.0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::util::KeyToSignature ; 5 ; 2 ; 2 ; 3 ; 300 ; 0 ; 13 ; 2 ; 258.0 ; 25.0 ; 41 ; 8 ; 1 ; 1.0 ; 24 ; 130.0 ; 56.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::jdom::DOMType ; 14 ; 4 ; 4 ; 11 ; 703 ; 0 ; 14 ; 50 ; 419.0 ; 38.0 ; 185 ; 0 ; 0 ; 0.0 ; 20 ; 162.0 ; 94.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::ast::ForStatement ; 11 ; 3 ; 0 ; 11 ; 15 ; 0 ; 11 ; 380 ; 343.0 ; 6.0 ; 38 ; 2 ; 0 ; 9.0 ; 6 ; 106.0 ; 91.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::lookup::MissingTypeBinding ; 3 ; 5 ; 1 ; 2 ; 10 ; 0 ; 0 ; 58 ; 34.0 ; 5.0 ; 179 ; 0 ; 0 ; 0.0 ; 4 ; 12.0 ; 7.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::ast::TrueLiteral ; 3 ; 6 ; 1 ; 2 ; 21 ; 0 ; 1 ; 384 ; 39.0 ; 7.0 ; 79 ; 0 ; 0 ; 0.0 ; 7 ; 14.0 ; 11.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::codeassist::complete::CompletionOnKeyword3 ; 1 ; 7 ; 1 ; 0 ; 15 ; 0 ; 1 ; 419 ; 21.0 ; 6.0 ; 118 ; 1 ; 0 ; 0.0 ; 6 ; 10.0 ; 6.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::formatter::FormatJavadocText ; 6 ; 2 ; 3 ; 4 ; 136 ; 0 ; 7 ; 119 ; 197.0 ; 17.0 ; 16 ; 1 ; 1 ; 6.0 ; 7 ; 54.0 ; 68.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::ImportDeclarationElementInfo ; 1 ; 4 ; 1 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0.0 ; 1.0 ; 28 ; 0 ; 0 ; 0.0 ; 1 ; 1.0 ; 0.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::formatter::comment::SubstitutionTextReader ; 5 ; 1 ; 2 ; 3 ; 55 ; 2 ; 7 ; 0 ; 81.0 ; 11.0 ; 28 ; 7 ; 0 ; 0.0 ; 5 ; 29.0 ; 21.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::ast::NormalAnnotation ; 6 ; 5 ; 4 ; 2 ; 10 ; 1 ; 1 ; 388 ; 45.0 ; 5.0 ; 78 ; 0 ; 0 ; 1.0 ; 5 ; 13.0 ; 16.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::lookup::SourceTypeBinding ; 55 ; 4 ; 32 ; 32 ; 1275 ; 1 ; 15 ; 49 ; 1461.0 ; 51.0 ; 148 ; 8 ; 2 ; 7.0 ; 43 ; 446.0 ; 456.0 ; 6 ; 0 ; 1 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::SetContainerOperation ; 14 ; 3 ; 1 ; 13 ; 15 ; 0 ; 3 ; 19 ; 167.0 ; 6.0 ; 67 ; 0 ; 4 ; 3.0 ; 1 ; 51.0 ; 36.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::lookup::AnnotationBinding ; 13 ; 1 ; 8 ; 6 ; 45 ; 1 ; 2 ; 0 ; 151.0 ; 10.0 ; 8 ; 0 ; 3 ; 2.0 ; 6 ; 53.0 ; 53.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::LRUCacheEnumerator ; 1 ; 1 ; 1 ; 0 ; 3 ; 0 ; 1 ; 0 ; 11.0 ; 3.0 ; 8 ; 0 ; 0 ; 0.0 ; 3 ; 3.0 ; 3.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::JavaModelInfo ; 3 ; 3 ; 1 ; 2 ; 3 ; 0 ; 1 ; 3 ; 27.0 ; 3.0 ; 17 ; 0 ; 1 ; 1.0 ; 1 ; 7.0 ; 8.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::core::dom::MethodDeclaration ; 15 ; 3 ; 8 ; 9 ; 595 ; 0 ; 23 ; 97 ; 319.0 ; 35.0 ; 84 ; 11 ; 0 ; 0.0 ; 18 ; 156.0 ; 81.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::search::matching::AndPattern ; 2 ; 5 ; 1 ; 2 ; 10 ; 0 ; 2 ; 61 ; 50.0 ; 5.0 ; 49 ; 0 ; 1 ; 1.0 ; 1 ; 10.0 ; 15.0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::eval::CodeSnippetSuperReference ; 3 ; 7 ; 1 ; 2 ; 28 ; 0 ; 0 ; 398 ; 25.0 ; 8.0 ; 107 ; 0 ; 0 ; 0.0 ; 8 ; 10.0 ; 8.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::search::matching::OrPattern ; 8 ; 3 ; 2 ; 7 ; 28 ; 0 ; 2 ; 52 ; 69.0 ; 8.0 ; 27 ; 0 ; 0 ; 1.0 ; 5 ; 24.0 ; 25.0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::util::HashSetOfArray ; 5 ; 1 ; 1 ; 4 ; 36 ; 0 ; 3 ; 0 ; 109.0 ; 9.0 ; 16 ; 0 ; 2 ; 3.0 ; 7 ; 30.0 ; 31.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::util::ClassFileStruct ; 35 ; 1 ; 32 ; 3 ; 55 ; 16 ; 0 ; 0 ; 85.0 ; 11.0 ; 8 ; 0 ; 0 ; 0.0 ; 0 ; 16.0 ; 21.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::codeassist::select::SelectionOnSingleTypeReference ; 7 ; 6 ; 2 ; 5 ; 10 ; 0 ; 0 ; 385 ; 35.0 ; 5.0 ; 95 ; 0 ; 0 ; 0.0 ; 4 ; 24.0 ; 11.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::env::AccessRuleSet ; 16 ; 1 ; 11 ; 5 ; 10 ; 0 ; 3 ; 0 ; 62.0 ; 5.0 ; 8 ; 1 ; 0 ; 2.0 ; 5 ; 18.0 ; 22.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::search::indexing::IndexAllProject ; 13 ; 2 ; 1 ; 13 ; 15 ; 0 ; 1 ; 8 ; 207.0 ; 6.0 ; 19 ; 0 ; 0 ; 1.0 ; 5 ; 58.0 ; 30.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::codegen::ObjectCache ; 3 ; 1 ; 1 ; 2 ; 36 ; 0 ; 4 ; 0 ; 83.0 ; 9.0 ; 8 ; 0 ; 1 ; 4.0 ; 8 ; 24.0 ; 25.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::util::ClassFileAttribute ; 7 ; 2 ; 4 ; 3 ; 6 ; 17 ; 4 ; 0 ; 18.0 ; 4.0 ; 22 ; 3 ; 0 ; 0.0 ; 4 ; 10.0 ; 5.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::ast::ForeachStatement ; 19 ; 3 ; 0 ; 19 ; 15 ; 0 ; 21 ; 380 ; 451.0 ; 6.0 ; 38 ; 11 ; 0 ; 10.0 ; 6 ; 172.0 ; 84.0 ; 2 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::core::dom::NodeEventHandler ; 1 ; 1 ; 1 ; 0 ; 55 ; 1 ; 0 ; 0 ; 43.0 ; 11.0 ; 8 ; 0 ; 0 ; 0.0 ; 0 ; 11.0 ; 11.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::eval::CodeSnippetClassFile ; 13 ; 2 ; 1 ; 12 ; 1 ; 0 ; 0 ; 270 ; 166.0 ; 2.0 ; 48 ; 0 ; 0 ; 0.0 ; 2 ; 42.0 ; 29.0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::flow::FinallyFlowContext ; 8 ; 2 ; 1 ; 7 ; 28 ; 0 ; 7 ; 141 ; 264.0 ; 8.0 ; 35 ; 0 ; 0 ; 7.0 ; 5 ; 85.0 ; 63.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::SourceJavadocParser ; 6 ; 3 ; 1 ; 5 ; 6 ; 0 ; 2 ; 135 ; 107.0 ; 4.0 ; 67 ; 0 ; 0 ; 2.0 ; 2 ; 24.0 ; 49.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::lookup::UnresolvedReferenceBinding ; 11 ; 4 ; 6 ; 6 ; 15 ; 0 ; 2 ; 49 ; 64.0 ; 6.0 ; 148 ; 0 ; 0 ; 2.0 ; 2 ; 18.0 ; 18.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::CreateImportOperation ; 17 ; 3 ; 2 ; 15 ; 21 ; 0 ; 2 ; 25 ; 83.0 ; 7.0 ; 82 ; 0 ; 0 ; 0.0 ; 3 ; 49.0 ; 20.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::builder::ReferenceCollection ; 8 ; 1 ; 3 ; 5 ; 10 ; 1 ; 10 ; 0 ; 140.0 ; 5.0 ; 8 ; 0 ; 0 ; 4.0 ; 4 ; 37.0 ; 48.0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::ast::InstanceOfExpression ; 8 ; 5 ; 0 ; 8 ; 21 ; 0 ; 2 ; 412 ; 70.0 ; 7.0 ; 94 ; 0 ; 0 ; 2.0 ; 7 ; 39.0 ; 18.0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::core::dom::NodeSearcher ; 1 ; 2 ; 1 ; 0 ; 1 ; 0 ; 3 ; 0 ; 11.0 ; 2.0 ; 11 ; 0 ; 0 ; 3.0 ; 1 ; 2.0 ; 4.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::util::AnnotationComponent ; 5 ; 2 ; 1 ; 4 ; 10 ; 0 ; 4 ; 0 ; 27.0 ; 5.0 ; 22 ; 4 ; 0 ; 0.0 ; 4 ; 12.0 ; 7.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::core::dom::BreakStatement ; 4 ; 3 ; 1 ; 3 ; 66 ; 0 ; 3 ; 95 ; 59.0 ; 12.0 ; 73 ; 2 ; 0 ; 0.0 ; 3 ; 35.0 ; 16.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::ASTHolderCUInfo ; 1 ; 4 ; 1 ; 0 ; 0 ; 0 ; 5 ; 6 ; 0.0 ; 1.0 ; 21 ; 0 ; 0 ; 5.0 ; 1 ; 1.0 ; 0.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::codeassist::complete::CompletionOnMethodReturnType ; 2 ; 4 ; 1 ; 1 ; 3 ; 0 ; 0 ; 410 ; 12.0 ; 3.0 ; 66 ; 0 ; 0 ; 0.0 ; 3 ; 5.0 ; 3.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::ast::ImportReference ; 20 ; 2 ; 20 ; 0 ; 10 ; 5 ; 7 ; 380 ; 35.0 ; 5.0 ; 27 ; 0 ; 0 ; 7.0 ; 5 ; 10.0 ; 10.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::builder::ClasspathJar ; 11 ; 2 ; 2 ; 9 ; 45 ; 0 ; 8 ; 0 ; 108.0 ; 10.0 ; 18 ; 0 ; 0 ; 8.0 ; 9 ; 51.0 ; 34.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::eval::VariablesInfo ; 3 ; 1 ; 2 ; 1 ; 3 ; 0 ; 5 ; 0 ; 25.0 ; 3.0 ; 8 ; 0 ; 0 ; 5.0 ; 1 ; 5.0 ; 7.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::DeleteResourceElementsOperation ; 9 ; 3 ; 1 ; 8 ; 10 ; 0 ; 0 ; 22 ; 90.0 ; 5.0 ; 78 ; 0 ; 1 ; 0.0 ; 0 ; 34.0 ; 30.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::InternalNamingConventions ; 11 ; 1 ; 1 ; 10 ; 55 ; 0 ; 1 ; 0 ; 377.0 ; 11.0 ; 8 ; 1 ; 7 ; 0.0 ; 4 ; 89.0 ; 80.0 ; 2 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::search::IndexQueryRequestor ; 6 ; 1 ; 6 ; 0 ; 1 ; 5 ; 0 ; 0 ; 0.0 ; 2.0 ; 8 ; 0 ; 0 ; 0.0 ; 2 ; 2.0 ; 0.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::flow::SwitchFlowContext ; 4 ; 2 ; 1 ; 3 ; 10 ; 2 ; 2 ; 141 ; 23.0 ; 5.0 ; 35 ; 0 ; 0 ; 2.0 ; 5 ; 13.0 ; 6.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::core::dom::LineComment ; 4 ; 3 ; 2 ; 2 ; 36 ; 0 ; 1 ; 95 ; 31.0 ; 9.0 ; 75 ; 1 ; 0 ; 0.0 ; 1 ; 19.0 ; 9.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::ast::JavadocSingleNameReference ; 6 ; 7 ; 2 ; 4 ; 3 ; 2 ; 2 ; 419 ; 30.0 ; 3.0 ; 115 ; 0 ; 0 ; 2.0 ; 3 ; 12.0 ; 8.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
