classname ; cbo ; dit ; fanIn ; fanOut ; lcom ; noc ; numberOfAttributes ; numberOfAttributesInherited ; numberOfLinesOfCode ; numberOfMethods ; numberOfMethodsInherited ; numberOfPrivateAttributes ; numberOfPrivateMethods ; numberOfPublicAttributes ; numberOfPublicMethods ; rfc ; wmc ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
org::osgi::framework::ServicePermission ; 7 ; 1 ; 1 ; 7 ; 45 ; 0 ; 9 ; 0 ; 77.0 ; 10.0 ; 33 ; 6 ; 3 ; 0.0 ; 5 ; 29.0 ; 22.0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::FrameworkProperties ; 22 ; 1 ; 18 ; 4 ; 6 ; 0 ; 2 ; 0 ; 24.0 ; 4.0 ; 7 ; 2 ; 0 ; 0.0 ; 4 ; 17.0 ; 8.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
nativetest::d::Activator ; 4 ; 1 ; 0 ; 4 ; 1 ; 0 ; 0 ; 0 ; 8.0 ; 2.0 ; 9 ; 0 ; 0 ; 0.0 ; 2 ; 8.0 ; 2.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
substitutes::y::Ay ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0 ; 0.0 ; 7 ; 0 ; 0 ; 0.0 ; 0 ; 0.0 ; 0.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::ConsoleMsg ; 0 ; 2 ; 0 ; 0 ; 0 ; 0 ; 138 ; 3 ; 0.0 ; 0.0 ; 12 ; 1 ; 0 ; 137.0 ; 0 ; 0.0 ; 0.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
substitutes::x::Kx ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0 ; 0.0 ; 7 ; 0 ; 0 ; 0.0 ; 0 ; 0.0 ; 0.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::equinox::launcher::Main ; 40 ; 1 ; 3 ; 37 ; 2016 ; 1 ; 111 ; 0 ; 1805.0 ; 64.0 ; 7 ; 82 ; 47 ; 2.0 ; 3 ; 836.0 ; 410.0 ; 3 ; 0 ; 1 ; 0 ; 0 ; 
nativetest::b2::Activator ; 4 ; 1 ; 0 ; 4 ; 1 ; 0 ; 0 ; 0 ; 9.0 ; 2.0 ; 9 ; 0 ; 0 ; 0.0 ; 2 ; 8.0 ; 2.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::baseadaptor::DefaultClassLoader ; 12 ; 2 ; 1 ; 11 ; 190 ; 0 ; 6 ; 0 ; 120.0 ; 20.0 ; 42 ; 2 ; 0 ; 0.0 ; 17 ; 54.0 ; 38.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::StartLevelEvent ; 1 ; 1 ; 1 ; 0 ; 6 ; 0 ; 6 ; 0 ; 15.0 ; 4.0 ; 15 ; 4 ; 0 ; 0.0 ; 4 ; 4.0 ; 4.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::equinox::internal::launcher::Constants ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 25 ; 0 ; 0.0 ; 0.0 ; 7 ; 0 ; 0 ; 0.0 ; 0 ; 0.0 ; 0.0 ; 1 ; 0 ; 1 ; 0 ; 0 ; 
org::eclipse::osgi::tests::appadmin::SimpleApp ; 2 ; 1 ; 0 ; 2 ; 1 ; 0 ; 2 ; 0 ; 30.0 ; 2.0 ; 7 ; 2 ; 0 ; 0.0 ; 2 ; 10.0 ; 5.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::core::runtime::internal::stats::StatsManager ; 17 ; 1 ; 3 ; 16 ; 210 ; 0 ; 19 ; 8 ; 149.0 ; 21.0 ; 14 ; 11 ; 3 ; 7.0 ; 18 ; 108.0 ; 38.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::baseadaptor::bundlefile::DirZipBundleEntry ; 3 ; 2 ; 1 ; 3 ; 21 ; 0 ; 2 ; 1 ; 32.0 ; 7.0 ; 15 ; 1 ; 0 ; 1.0 ; 7 ; 14.0 ; 9.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::BundlePermissionCollection ; 2 ; 1 ; 2 ; 0 ; 0 ; 2 ; 1 ; 0 ; 0.0 ; 1.0 ; 19 ; 1 ; 0 ; 0.0 ; 0 ; 1.0 ; 0.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::util::TextProcessor ; 5 ; 1 ; 2 ; 3 ; 15 ; 0 ; 10 ; 0 ; 114.0 ; 6.0 ; 7 ; 10 ; 3 ; 0.0 ; 3 ; 36.0 ; 34.0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::DependentPolicy ; 5 ; 1 ; 1 ; 4 ; 15 ; 1 ; 3 ; 0 ; 83.0 ; 6.0 ; 10 ; 0 ; 2 ; 3.0 ; 4 ; 35.0 ; 24.0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::resolver::GenericSpecificationImpl ; 12 ; 3 ; 4 ; 8 ; 91 ; 0 ; 4 ; 2 ; 65.0 ; 14.0 ; 47 ; 4 ; 0 ; 0.0 ; 9 ; 35.0 ; 31.0 ; 2 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::tests::services::resolver::SimplePlatformAdmin ; 2 ; 2 ; 0 ; 2 ; 0 ; 0 ; 0 ; 7 ; 4.0 ; 1.0 ; 38 ; 0 ; 0 ; 0.0 ; 1 ; 3.0 ; 1.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::core::runtime::internal::adaptor::Locker_JavaNio ; 6 ; 1 ; 1 ; 5 ; 6 ; 0 ; 3 ; 0 ; 73.0 ; 4.0 ; 10 ; 3 ; 0 ; 0.0 ; 4 ; 20.0 ; 10.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
thread::locktest::Class1 ; 1 ; 1 ; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0 ; 1.0 ; 7 ; 0 ; 0 ; 0.0 ; 1 ; 1.0 ; 0.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
legacy::lazystart::b::excluded::b::BBExcluded ; 1 ; 1 ; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0 ; 1.0 ; 7 ; 0 ; 0 ; 0.0 ; 1 ; 1.0 ; 0.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::signedcontent::PKCS7DateParser ; 1 ; 1 ; 1 ; 1 ; 1 ; 0 ; 0 ; 0 ; 27.0 ; 2.0 ; 7 ; 0 ; 1 ; 0.0 ; 0 ; 15.0 ; 6.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
chain::test::d::Activator ; 2 ; 1 ; 0 ; 2 ; 1 ; 0 ; 0 ; 0 ; 6.0 ; 2.0 ; 9 ; 0 ; 0 ; 0.0 ; 2 ; 8.0 ; 2.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
substitutes::y::Ny ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0 ; 0.0 ; 7 ; 0 ; 0 ; 0.0 ; 0 ; 0.0 ; 0.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
osgi::lazystart::LazySimple ; 1 ; 1 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 3.0 ; 1.0 ; 8 ; 0 ; 0 ; 0.0 ; 1 ; 2.0 ; 1.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
substitutes::x::Ix ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0 ; 0.0 ; 7 ; 0 ; 0 ; 0.0 ; 0 ; 0.0 ; 0.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::module::ResolverExport ; 5 ; 2 ; 4 ; 1 ; 15 ; 0 ; 1 ; 1 ; 19.0 ; 6.0 ; 16 ; 1 ; 0 ; 0.0 ; 2 ; 11.0 ; 6.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::resolver::StateObjectFactoryImpl ; 30 ; 1 ; 1 ; 29 ; 210 ; 0 ; 0 ; 1 ; 221.0 ; 21.0 ; 19 ; 0 ; 5 ; 0.0 ; 16 ; 177.0 ; 46.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::StartLevelManager ; 26 ; 1 ; 6 ; 21 ; 406 ; 0 ; 8 ; 0 ; 430.0 ; 29.0 ; 23 ; 3 ; 8 ; 0.0 ; 11 ; 199.0 ; 109.0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::core::runtime::internal::adaptor::EclipseAppLauncher ; 13 ; 1 ; 1 ; 12 ; 21 ; 0 ; 8 ; 0 ; 100.0 ; 7.0 ; 9 ; 8 ; 2 ; 0.0 ; 5 ; 45.0 ; 30.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::Msg ; 0 ; 2 ; 0 ; 0 ; 0 ; 0 ; 62 ; 3 ; 0.0 ; 0.0 ; 12 ; 1 ; 0 ; 61.0 ; 0 ; 0.0 ; 0.0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::resolver::BundleDescriptionImpl ; 24 ; 2 ; 9 ; 17 ; 2775 ; 0 ; 26 ; 0 ; 425.0 ; 75.0 ; 48 ; 11 ; 2 ; 0.0 ; 35 ; 180.0 ; 147.0 ; 3 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::core::runtime::internal::adaptor::Locker_JavaIo ; 3 ; 1 ; 1 ; 2 ; 6 ; 0 ; 2 ; 0 ; 44.0 ; 4.0 ; 10 ; 2 ; 0 ; 0.0 ; 4 ; 14.0 ; 9.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::resolver::StateMsg ; 0 ; 2 ; 0 ; 0 ; 0 ; 0 ; 22 ; 3 ; 0.0 ; 0.0 ; 12 ; 1 ; 0 ; 21.0 ; 0 ; 0.0 ; 0.0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::BundleSource ; 0 ; 1 ; 0 ; 0 ; 3 ; 0 ; 1 ; 2 ; 10.0 ; 3.0 ; 13 ; 1 ; 0 ; 0.0 ; 2 ; 3.0 ; 3.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::storagemanager::StorageManager ; 21 ; 1 ; 6 ; 16 ; 378 ; 0 ; 22 ; 0 ; 503.0 ; 28.0 ; 7 ; 22 ; 13 ; 0.0 ; 13 ; 252.0 ; 122.0 ; 1 ; 1 ; 0 ; 0 ; 0 ; 
org::osgi::framework::FrameworkEvent ; 10 ; 1 ; 10 ; 0 ; 6 ; 0 ; 10 ; 0 ; 15.0 ; 4.0 ; 15 ; 3 ; 0 ; 0.0 ; 4 ; 4.0 ; 4.0 ; 2 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::resolver::StateDeltaImpl ; 5 ; 1 ; 2 ; 3 ; 36 ; 0 ; 2 ; 0 ; 95.0 ; 9.0 ; 9 ; 2 ; 0 ; 0.0 ; 3 ; 57.0 ; 28.0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::SystemBundleActivator ; 7 ; 1 ; 0 ; 7 ; 6 ; 0 ; 8 ; 0 ; 55.0 ; 4.0 ; 9 ; 0 ; 0 ; 0.0 ; 3 ; 30.0 ; 14.0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::AliasMapper ; 9 ; 1 ; 2 ; 7 ; 6 ; 0 ; 2 ; 0 ; 98.0 ; 4.0 ; 7 ; 2 ; 0 ; 0.0 ; 3 ; 36.0 ; 22.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::baseadaptor::bundlefile::DirBundleFile ; 6 ; 2 ; 1 ; 5 ; 21 ; 0 ; 0 ; 3 ; 62.0 ; 7.0 ; 20 ; 0 ; 0 ; 0.0 ; 7 ; 29.0 ; 14.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
legacy::lazystart::b::excluded::a::BAExcluded ; 1 ; 1 ; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0 ; 1.0 ; 7 ; 0 ; 0 ; 0.0 ; 1 ; 1.0 ; 0.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
substitutes::y::Ly ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0 ; 0.0 ; 7 ; 0 ; 0 ; 0.0 ; 0 ; 0.0 ; 0.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::reliablefile::ReliableFileOutputStream ; 6 ; 1 ; 1 ; 5 ; 10 ; 0 ; 3 ; 1 ; 54.0 ; 5.0 ; 27 ; 3 ; 1 ; 0.0 ; 4 ; 22.0 ; 10.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::module::VersionHashMap ; 9 ; 2 ; 2 ; 8 ; 21 ; 0 ; 1 ; 1 ; 63.0 ; 7.0 ; 13 ; 1 ; 1 ; 0.0 ; 4 ; 41.0 ; 28.0 ; 2 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::MultiSourcePackage ; 2 ; 2 ; 1 ; 2 ; 10 ; 0 ; 1 ; 1 ; 31.0 ; 5.0 ; 22 ; 0 ; 0 ; 1.0 ; 4 ; 9.0 ; 10.0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::provisional::service::security::AuthorizationEvent ; 5 ; 1 ; 5 ; 0 ; 10 ; 0 ; 6 ; 0 ; 18.0 ; 5.0 ; 7 ; 4 ; 0 ; 0.0 ; 5 ; 5.0 ; 5.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::core::runtime::internal::adaptor::EclipseCommandProvider ; 17 ; 1 ; 1 ; 16 ; 45 ; 0 ; 3 ; 0 ; 188.0 ; 10.0 ; 8 ; 3 ; 4 ; 0.0 ; 6 ; 115.0 ; 37.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::core::runtime::internal::stats::BundleStats ; 3 ; 1 ; 1 ; 2 ; 231 ; 0 ; 11 ; 0 ; 73.0 ; 22.0 ; 7 ; 8 ; 0 ; 3.0 ; 14 ; 28.0 ; 26.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
legacy::lazystart::FalseExceptionLegacy2 ; 1 ; 1 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 3.0 ; 1.0 ; 8 ; 0 ; 0 ; 0.0 ; 1 ; 2.0 ; 1.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::osgi::service::permissionadmin::PermissionInfo ; 7 ; 1 ; 3 ; 4 ; 45 ; 0 ; 3 ; 0 ; 217.0 ; 10.0 ; 7 ; 3 ; 2 ; 0.0 ; 8 ; 55.0 ; 57.0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::baseadaptor::bundlefile::MRUBundleFileList ; 7 ; 1 ; 2 ; 5 ; 55 ; 0 ; 11 ; 0 ; 125.0 ; 11.0 ; 8 ; 11 ; 3 ; 0.0 ; 8 ; 36.0 ; 33.0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::core::runtime::internal::adaptor::PluginParser ; 16 ; 1 ; 2 ; 14 ; 435 ; 0 ; 20 ; 62 ; 403.0 ; 30.0 ; 35 ; 17 ; 2 ; 3.0 ; 27 ; 219.0 ; 107.0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
osgi::lazystart::c::excluded::b::CBExcluded ; 1 ; 1 ; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0 ; 1.0 ; 7 ; 0 ; 0 ; 0.0 ; 1 ; 1.0 ; 0.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::tests::bundles::BundleInstaller ; 19 ; 1 ; 9 ; 10 ; 66 ; 0 ; 7 ; 0 ; 155.0 ; 12.0 ; 7 ; 7 ; 0 ; 0.0 ; 12 ; 83.0 ; 30.0 ; 3 ; 0 ; 0 ; 0 ; 0 ; 
substitutes::y::Jy ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0 ; 0.0 ; 7 ; 0 ; 0 ; 0.0 ; 0 ; 0.0 ; 0.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
host::multiple::exports::PublicClass2 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0 ; 0.0 ; 7 ; 0 ; 0 ; 0.0 ; 0 ; 0.0 ; 0.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::resolver::VersionConstraintImpl ; 14 ; 2 ; 11 ; 4 ; 45 ; 5 ; 4 ; 0 ; 36.0 ; 10.0 ; 20 ; 4 ; 0 ; 0.0 ; 6 ; 15.0 ; 13.0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::eventmgr::EventThread ; 5 ; 1 ; 2 ; 4 ; 15 ; 0 ; 4 ; 0 ; 70.0 ; 6.0 ; 27 ; 4 ; 2 ; 0.0 ; 1 ; 16.0 ; 16.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
legacy::lazystart::SimpleLegacy ; 1 ; 1 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 3.0 ; 1.0 ; 8 ; 0 ; 0 ; 0.0 ; 1 ; 2.0 ; 1.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::signedcontent::Base64 ; 1 ; 1 ; 1 ; 0 ; 3 ; 0 ; 2 ; 0 ; 153.0 ; 3.0 ; 7 ; 1 ; 0 ; 1.0 ; 2 ; 7.0 ; 28.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::baseadaptor::BasePermissionStorage ; 2 ; 1 ; 1 ; 2 ; 28 ; 0 ; 5 ; 0 ; 49.0 ; 8.0 ; 12 ; 5 ; 0 ; 0.0 ; 7 ; 21.0 ; 13.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
host::multiple::exports::PrivateClass2 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0 ; 0.0 ; 7 ; 0 ; 0 ; 0.0 ; 0 ; 0.0 ; 0.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::ServiceRegistryImpl ; 2 ; 1 ; 1 ; 1 ; 15 ; 0 ; 3 ; 0 ; 110.0 ; 6.0 ; 11 ; 0 ; 0 ; 0.0 ; 6 ; 37.0 ; 17.0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::core::runtime::internal::stats::ResourceBundleStats ; 4 ; 1 ; 0 ; 4 ; 55 ; 0 ; 7 ; 0 ; 56.0 ; 11.0 ; 7 ; 7 ; 2 ; 0.0 ; 9 ; 26.0 ; 13.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::core::runtime::internal::adaptor::EclipseClassLoadingHook ; 16 ; 1 ; 0 ; 16 ; 78 ; 0 ; 4 ; 0 ; 180.0 ; 13.0 ; 14 ; 4 ; 5 ; 0.0 ; 8 ; 101.0 ; 57.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::signedcontent::SignedContentImpl ; 13 ; 1 ; 7 ; 6 ; 91 ; 0 ; 6 ; 0 ; 86.0 ; 14.0 ; 14 ; 4 ; 1 ; 1.0 ; 8 ; 43.0 ; 33.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::baseadaptor::bundlefile::BundleEntry ; 12 ; 1 ; 10 ; 2 ; 28 ; 4 ; 1 ; 0 ; 49.0 ; 8.0 ; 7 ; 0 ; 0 ; 0.0 ; 8 ; 18.0 ; 11.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::module::ResolverImpl ; 39 ; 1 ; 5 ; 38 ; 2016 ; 0 ; 32 ; 0 ; 1543.0 ; 64.0 ; 17 ; 25 ; 49 ; 7.0 ; 11 ; 1009.0 ; 534.0 ; 3 ; 0 ; 0 ; 0 ; 0 ; 
osgi::lazystart::c::excluded::a::CAExcluded ; 1 ; 1 ; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0 ; 1.0 ; 7 ; 0 ; 0 ; 0.0 ; 1 ; 1.0 ; 0.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
nativetest::c::Activator ; 4 ; 1 ; 0 ; 4 ; 1 ; 0 ; 0 ; 0 ; 8.0 ; 2.0 ; 9 ; 0 ; 0 ; 0.0 ; 2 ; 8.0 ; 2.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::protocol::MultiplexingURLStreamHandler ; 10 ; 1 ; 1 ; 10 ; 66 ; 0 ; 14 ; 0 ; 173.0 ; 12.0 ; 16 ; 14 ; 1 ; 0.0 ; 1 ; 121.0 ; 23.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::service::resolver::DisabledInfo ; 11 ; 1 ; 9 ; 2 ; 10 ; 0 ; 3 ; 0 ; 28.0 ; 5.0 ; 7 ; 3 ; 0 ; 0.0 ; 5 ; 11.0 ; 13.0 ; 2 ; 1 ; 0 ; 0 ; 0 ; 
substitutes::q::AFq ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0 ; 0.0 ; 7 ; 0 ; 0 ; 0.0 ; 0 ; 0.0 ; 0.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
legacy::lazystart::TrueExceptionLegacy1 ; 2 ; 1 ; 0 ; 2 ; 0 ; 0 ; 0 ; 0 ; 4.0 ; 1.0 ; 8 ; 0 ; 0 ; 0.0 ; 1 ; 3.0 ; 1.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::Framework ; 77 ; 1 ; 18 ; 67 ; 1653 ; 0 ; 45 ; 0 ; 1250.0 ; 58.0 ; 17 ; 14 ; 21 ; 7.0 ; 13 ; 523.0 ; 251.0 ; 13 ; 0 ; 0 ; 0 ; 0 ; 
org::osgi::service::condpermadmin::ConditionInfo ; 8 ; 1 ; 4 ; 4 ; 36 ; 0 ; 2 ; 0 ; 186.0 ; 9.0 ; 7 ; 2 ; 2 ; 0.0 ; 7 ; 51.0 ; 46.0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::PermissionsHash ; 4 ; 1 ; 1 ; 3 ; 6 ; 0 ; 2 ; 0 ; 30.0 ; 4.0 ; 19 ; 1 ; 0 ; 1.0 ; 4 ; 14.0 ; 9.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::service::pluginconversion::PluginConversionException ; 0 ; 1 ; 0 ; 0 ; 1 ; 0 ; 2 ; 0 ; 6.0 ; 2.0 ; 18 ; 2 ; 0 ; 0.0 ; 2 ; 2.0 ; 2.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
nativetest::b1::Activator ; 4 ; 1 ; 0 ; 4 ; 1 ; 0 ; 0 ; 0 ; 9.0 ; 2.0 ; 9 ; 0 ; 0 ; 0.0 ; 2 ; 8.0 ; 2.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::signedcontent::BERProcessor ; 5 ; 1 ; 1 ; 4 ; 45 ; 0 ; 20 ; 0 ; 145.0 ; 10.0 ; 7 ; 0 ; 0 ; 9.0 ; 10 ; 38.0 ; 39.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
