@relation china3AttSelectedAFPTest

@attribute AFP numeric
@attribute Input numeric
@attribute Output numeric
@attribute Enquiry numeric
@attribute File numeric
@attribute Interface numeric
@attribute Added numeric
@attribute Changed numeric
@attribute Deleted numeric
@attribute Resource {1,2,3,4}
@attribute Duration numeric
@attribute DevType {NewDev,Maint}
@attribute AdjFactor numeric
@attribute Effort numeric

@data
109,0,84,0,17,5,47,59,0,1,2,Maint,1.028302,1525
160,0,21,72,25,40,74,68,16,1,2,Maint,1.012658,477
65,0,64,0,0,0,54,10,0,1,2,Maint,1.015625,503
366,160,27,96,72,0,260,84,11,1,10,Maint,1.030986,8470
63,18,10,3,28,0,16,43,0,1,3,Maint,1.067797,778
309,126,13,59,153,30,381,0,0,4,7.5,NewDev,0.811024,2597
610,137,174,117,147,0,575,0,0,1,3,NewDev,1.06087,950
562,165,125,93,119,0,502,0,0,3,13,NewDev,1.119522,5727
156,21,38,39,7,41,146,0,0,1,4,NewDev,1.068493,2040
75,30,5,19,21,0,40,35,0,1,8,Maint,1,3677
136,42,64,0,21,0,0,127,0,1,2,Maint,1.070866,570
96,13,56,0,10,40,119,0,0,2,8,NewDev,0.806723,1223
78,24,24,9,21,0,78,0,0,1,4,NewDev,1,976
51,42,0,14,0,0,20,36,0,1,12,Maint,0.910714,387
1092,356,84,170,669,21,1300,0,0,1,13,NewDev,0.84,4416
134,42,11,32,35,14,134,0,0,1,8,NewDev,1,286
75,24,9,0,36,0,0,69,0,1,5,Maint,1.086957,305
88,18,20,0,43,0,36,45,0,1,7,Maint,1.08642,129
3088,1061,1009,772,241,5,544,2544,0,1,8,Maint,1,4266
82,25,46,0,14,15,100,0,0,1,3,NewDev,0.82,440
110,30,66,0,7,0,18,85,0,1,2,Maint,1.067961,1362
308,153,83,0,112,10,236,122,0,2,6,Maint,0.860335,2533
143,75,32,3,62,0,172,0,0,1,10,NewDev,0.831395,225
826,292,326,155,32,0,396,139,270,1,13,Maint,1.026087,11045
3460,484,1831,318,208,142,2756,227,0,4,24,Maint,1.159906,32760
73,15,32,0,28,5,80,0,0,1,8,NewDev,0.9125,2054
64,4,56,0,7,0,11,56,0,1,7,Maint,0.955224,252
497,122,28,113,273,10,454,92,0,2,8,Maint,0.910256,2362
288,201,0,36,76,0,99,214,0,1,5,Maint,0.920128,2459
494,134,62,140,91,67,494,0,0,1,21,NewDev,1,8706
130,60,65,0,0,0,14,111,0,1,6,Maint,1.04,770
204,47,43,6,29,104,229,0,0,1,36,NewDev,0.89083,8111
17,12,5,0,0,0,17,0,0,1,11,NewDev,1,762
60,10,25,0,31,5,71,0,0,1,1,NewDev,0.84507,136
73,0,20,36,10,0,56,10,0,1,1,Maint,1.106061,358
169,32,14,25,28,70,169,0,0,1,6,NewDev,1,481
1351,379,449,271,219,20,1173,29,136,1,8,Maint,1.009716,3189
2087,862,444,303,437,0,2046,0,0,4,9,NewDev,1.020039,22500
253,72,0,107,29,44,252,0,0,1,13,NewDev,1.003968,11719
102,37,26,10,29,0,102,0,0,1,5,NewDev,1,183
115,49,39,0,15,0,53,50,0,1,5,Maint,1.116505,1482
288,18,186,21,15,60,300,0,0,2,11,NewDev,0.96,1251
199,104,7,77,0,0,0,188,0,1,8,Maint,1.058511,943
163,49,14,33,49,10,155,0,0,1,11,NewDev,1.051613,2684
97,21,41,0,49,15,16,100,10,2,9,Maint,0.769841,729
439,82,222,19,85,10,105,313,0,1,7,Maint,1.050239,3630
3113,2019,609,248,157,80,3113,0,0,1,24,NewDev,1,34085
153,35,7,57,24,20,143,0,0,2,3,NewDev,1.06993,2856
670,346,97,122,79,0,146,498,0,1,6,Maint,1.040373,5757
129,19,93,3,10,30,0,155,0,2,15,Maint,0.832258,631
329,324,68,14,0,0,206,73,127,2,8,Maint,0.810345,2184
5684,2221,454,820,1137,311,4943,0,0,1,37,NewDev,1.149909,21014
61,27,4,24,17,0,72,0,0,1,4,NewDev,0.847222,417
267,27,133,51,34,89,70,178,86,2,9,Maint,0.799401,2683
218,78,16,56,77,0,227,0,0,1,4,NewDev,0.960352,5532
919,458,236,56,58,76,884,0,0,1,6,NewDev,1.039593,4815
66,27,12,6,14,0,28,31,0,1,2,Maint,1.118644,246
54,36,0,16,0,0,0,52,0,1,1,Maint,1.038462,686
245,88,105,27,79,0,299,0,0,1,13,NewDev,0.819398,470
54,24,28,0,0,0,0,52,0,1,2,Maint,1.038462,395
151,40,54,15,21,0,111,19,0,2,3,Maint,1.161538,1080
103,45,4,27,29,0,105,0,0,2,7,NewDev,0.980952,1396
300,95,82,27,76,0,138,142,0,1,10,Maint,1.071429,2933
249,126,4,98,21,0,58,191,0,1,9,Maint,1,4551
224,156,21,0,29,10,6,210,0,1,4,Maint,1.037037,2999
1984,255,1008,192,158,0,1613,0,0,2,11,NewDev,1.230006,2540
58,15,37,0,0,5,0,57,0,1,2,Maint,1.017544,26
56,50,0,3,0,0,0,53,0,1,2,Maint,1.056604,448
244,91,12,44,60,50,257,0,0,1,3,NewDev,0.949416,906
12,0,0,6,7,0,10,3,0,2,13,Maint,0.923077,211
1416,402,432,0,252,65,376,775,0,2,12,Maint,1.230235,1724
67,3,26,0,7,35,71,0,0,2,5,NewDev,0.943662,1584
95,36,0,32,24,0,0,92,0,1,7,Maint,1.032609,148
2376,638,233,639,580,131,2221,0,0,1,24,NewDev,1.069788,25482
442,225,102,57,91,0,82,393,0,1,5,Maint,0.930526,683
68,21,12,19,15,0,11,56,0,1,4,Maint,1.014925,2521
268,76,96,45,41,10,248,20,0,2,9,Maint,1,2933
90,96,0,0,0,0,96,0,0,1,2,NewDev,0.9375,494
72,23,25,7,17,0,55,17,0,1,7,Maint,1,486
505,111,127,18,216,0,472,0,0,1,30,NewDev,1.069915,4955
450,112,145,59,105,0,356,58,7,1,7,Maint,1.068884,6138
230,129,38,46,57,0,230,40,0,1,10,Maint,0.851852,1451
242,97,78,4,43,0,0,222,0,1,2,Maint,1.09009,311
106,21,76,6,0,0,7,96,0,1,2,Maint,1.029126,2445
31,10,14,0,7,0,4,27,0,1,6,Maint,1,237
1186,422,306,109,168,230,1235,0,0,3,9,NewDev,0.960324,3711
256,69,198,0,0,5,272,0,0,2,19,NewDev,0.941176,2941
191,44,60,15,49,25,159,34,0,2,11,Maint,0.989637,2430
213,102,63,6,28,0,186,13,0,1,10,Maint,1.070352,2532
4562,1098,1278,498,1059,0,3933,0,0,1,15,NewDev,1.159929,26408
141,44,33,44,17,0,5,133,0,1,2,Maint,1.021739,1244
187,23,65,17,91,5,201,0,0,1,6,NewDev,0.930348,562
128,45,0,68,0,15,128,0,0,1,10,NewDev,1,3303
194,70,16,0,45,47,46,132,0,1,12,Maint,1.089888,499
869,288,300,116,230,0,934,0,0,3,6,NewDev,0.930407,2078
125,51,9,33,22,0,20,84,11,1,3,Maint,1.086957,2326
477,235,117,89,46,10,172,218,107,1,6,Maint,0.959759,2741
717,716,13,10,24,0,51,712,0,1,5,Maint,0.939712,3546
25,0,28,0,0,0,0,28,0,1,3,Maint,0.892857,140
73,9,61,3,0,0,73,0,0,1,8,NewDev,1,1404
100,61,0,0,0,42,28,75,0,1,12,Maint,0.970874,929
273,103,183,15,17,0,318,0,0,3,5,NewDev,0.858491,528
587,108,119,94,203,0,524,0,0,3,15,NewDev,1.120229,3748
1437,920,154,41,203,0,1318,0,0,4,18,NewDev,1.090288,4900
97,3,101,3,0,7,108,6,0,2,12,Maint,0.850877,1853
224,110,25,6,49,5,195,0,0,2,13,NewDev,1.148718,2890
321,168,46,9,77,15,315,0,0,4,11,NewDev,1.019048,1076
99,6,4,19,59,10,98,0,0,1,4,NewDev,1.010204,2387
416,179,40,54,109,7,318,65,6,1,6,Maint,1.069409,1586
71,21,21,4,14,5,25,40,0,1,4,Maint,1.092308,997
