@relation 'china3-weka.filters.unsupervised.attribute.Remove-R1,11-14,17,20'

@attribute AFP numeric
@attribute Input numeric
@attribute Output numeric
@attribute Enquiry numeric
@attribute File numeric
@attribute Interface numeric
@attribute Added numeric
@attribute Changed numeric
@attribute Deleted numeric
@attribute Resource {1,2,3,4}
@attribute Duration numeric
@attribute DevType {NewDev,Maint}
@attribute AdjFactor numeric
@attribute Effort numeric

@data
136,42,64,0,21,0,0,127,0,1,2,Maint,1.070866,570
96,13,56,0,10,40,119,0,0,2,8,NewDev,0.806723,1223
78,24,24,9,21,0,78,0,0,1,4,NewDev,1,976
51,42,0,14,0,0,20,36,0,1,12,Maint,0.910714,387
1092,356,84,170,669,21,1300,0,0,1,13,NewDev,0.84,4416
134,42,11,32,35,14,134,0,0,1,8,NewDev,1,286
75,24,9,0,36,0,0,69,0,1,5,Maint,1.086957,305
88,18,20,0,43,0,36,45,0,1,7,Maint,1.08642,129
3088,1061,1009,772,241,5,544,2544,0,1,8,Maint,1,4266
82,25,46,0,14,15,100,0,0,1,3,NewDev,0.82,440
110,30,66,0,7,0,18,85,0,1,2,Maint,1.067961,1362
308,153,83,0,112,10,236,122,0,2,6,Maint,0.860335,2533
143,75,32,3,62,0,172,0,0,1,10,NewDev,0.831395,225
826,292,326,155,32,0,396,139,270,1,13,Maint,1.026087,11045
3460,484,1831,318,208,142,2756,227,0,4,24,Maint,1.159906,32760
73,15,32,0,28,5,80,0,0,1,8,NewDev,0.9125,2054
64,4,56,0,7,0,11,56,0,1,7,Maint,0.955224,252
497,122,28,113,273,10,454,92,0,2,8,Maint,0.910256,2362
288,201,0,36,76,0,99,214,0,1,5,Maint,0.920128,2459
494,134,62,140,91,67,494,0,0,1,21,NewDev,1,8706
130,60,65,0,0,0,14,111,0,1,6,Maint,1.04,770
204,47,43,6,29,104,229,0,0,1,36,NewDev,0.89083,8111
17,12,5,0,0,0,17,0,0,1,11,NewDev,1,762
60,10,25,0,31,5,71,0,0,1,1,NewDev,0.84507,136
73,0,20,36,10,0,56,10,0,1,1,Maint,1.106061,358
169,32,14,25,28,70,169,0,0,1,6,NewDev,1,481
1351,379,449,271,219,20,1173,29,136,1,8,Maint,1.009716,3189
2087,862,444,303,437,0,2046,0,0,4,9,NewDev,1.020039,22500
253,72,0,107,29,44,252,0,0,1,13,NewDev,1.003968,11719
102,37,26,10,29,0,102,0,0,1,5,NewDev,1,183
115,49,39,0,15,0,53,50,0,1,5,Maint,1.116505,1482
288,18,186,21,15,60,300,0,0,2,11,NewDev,0.96,1251
199,104,7,77,0,0,0,188,0,1,8,Maint,1.058511,943
163,49,14,33,49,10,155,0,0,1,11,NewDev,1.051613,2684
97,21,41,0,49,15,16,100,10,2,9,Maint,0.769841,729
439,82,222,19,85,10,105,313,0,1,7,Maint,1.050239,3630
3113,2019,609,248,157,80,3113,0,0,1,24,NewDev,1,34085
153,35,7,57,24,20,143,0,0,2,3,NewDev,1.06993,2856
670,346,97,122,79,0,146,498,0,1,6,Maint,1.040373,5757
129,19,93,3,10,30,0,155,0,2,15,Maint,0.832258,631
329,324,68,14,0,0,206,73,127,2,8,Maint,0.810345,2184
5684,2221,454,820,1137,311,4943,0,0,1,37,NewDev,1.149909,21014
61,27,4,24,17,0,72,0,0,1,4,NewDev,0.847222,417
267,27,133,51,34,89,70,178,86,2,9,Maint,0.799401,2683
218,78,16,56,77,0,227,0,0,1,4,NewDev,0.960352,5532
919,458,236,56,58,76,884,0,0,1,6,NewDev,1.039593,4815
66,27,12,6,14,0,28,31,0,1,2,Maint,1.118644,246
54,36,0,16,0,0,0,52,0,1,1,Maint,1.038462,686
245,88,105,27,79,0,299,0,0,1,13,NewDev,0.819398,470
54,24,28,0,0,0,0,52,0,1,2,Maint,1.038462,395
151,40,54,15,21,0,111,19,0,2,3,Maint,1.161538,1080
103,45,4,27,29,0,105,0,0,2,7,NewDev,0.980952,1396
300,95,82,27,76,0,138,142,0,1,10,Maint,1.071429,2933
249,126,4,98,21,0,58,191,0,1,9,Maint,1,4551
224,156,21,0,29,10,6,210,0,1,4,Maint,1.037037,2999
1984,255,1008,192,158,0,1613,0,0,2,11,NewDev,1.230006,2540
58,15,37,0,0,5,0,57,0,1,2,Maint,1.017544,26
56,50,0,3,0,0,0,53,0,1,2,Maint,1.056604,448
244,91,12,44,60,50,257,0,0,1,3,NewDev,0.949416,906
12,0,0,6,7,0,10,3,0,2,13,Maint,0.923077,211
1416,402,432,0,252,65,376,775,0,2,12,Maint,1.230235,1724
67,3,26,0,7,35,71,0,0,2,5,NewDev,0.943662,1584
95,36,0,32,24,0,0,92,0,1,7,Maint,1.032609,148
2376,638,233,639,580,131,2221,0,0,1,24,NewDev,1.069788,25482
442,225,102,57,91,0,82,393,0,1,5,Maint,0.930526,683
68,21,12,19,15,0,11,56,0,1,4,Maint,1.014925,2521
268,76,96,45,41,10,248,20,0,2,9,Maint,1,2933
90,96,0,0,0,0,96,0,0,1,2,NewDev,0.9375,494
72,23,25,7,17,0,55,17,0,1,7,Maint,1,486
505,111,127,18,216,0,472,0,0,1,30,NewDev,1.069915,4955
450,112,145,59,105,0,356,58,7,1,7,Maint,1.068884,6138
230,129,38,46,57,0,230,40,0,1,10,Maint,0.851852,1451
242,97,78,4,43,0,0,222,0,1,2,Maint,1.09009,311
106,21,76,6,0,0,7,96,0,1,2,Maint,1.029126,2445
31,10,14,0,7,0,4,27,0,1,6,Maint,1,237
1186,422,306,109,168,230,1235,0,0,3,9,NewDev,0.960324,3711
256,69,198,0,0,5,272,0,0,2,19,NewDev,0.941176,2941
191,44,60,15,49,25,159,34,0,2,11,Maint,0.989637,2430
213,102,63,6,28,0,186,13,0,1,10,Maint,1.070352,2532
4562,1098,1278,498,1059,0,3933,0,0,1,15,NewDev,1.159929,26408
141,44,33,44,17,0,5,133,0,1,2,Maint,1.021739,1244
187,23,65,17,91,5,201,0,0,1,6,NewDev,0.930348,562
128,45,0,68,0,15,128,0,0,1,10,NewDev,1,3303
194,70,16,0,45,47,46,132,0,1,12,Maint,1.089888,499
869,288,300,116,230,0,934,0,0,3,6,NewDev,0.930407,2078
125,51,9,33,22,0,20,84,11,1,3,Maint,1.086957,2326
477,235,117,89,46,10,172,218,107,1,6,Maint,0.959759,2741
717,716,13,10,24,0,51,712,0,1,5,Maint,0.939712,3546
25,0,28,0,0,0,0,28,0,1,3,Maint,0.892857,140
73,9,61,3,0,0,73,0,0,1,8,NewDev,1,1404
100,61,0,0,0,42,28,75,0,1,12,Maint,0.970874,929
273,103,183,15,17,0,318,0,0,3,5,NewDev,0.858491,528
587,108,119,94,203,0,524,0,0,3,15,NewDev,1.120229,3748
1437,920,154,41,203,0,1318,0,0,4,18,NewDev,1.090288,4900
97,3,101,3,0,7,108,6,0,2,12,Maint,0.850877,1853
224,110,25,6,49,5,195,0,0,2,13,NewDev,1.148718,2890
321,168,46,9,77,15,315,0,0,4,11,NewDev,1.019048,1076
99,6,4,19,59,10,98,0,0,1,4,NewDev,1.010204,2387
416,179,40,54,109,7,318,65,6,1,6,Maint,1.069409,1586
71,21,21,4,14,5,25,40,0,1,4,Maint,1.092308,997
120,60,48,12,0,0,12,108,0,1,5,Maint,1,212
213,72,43,3,84,30,132,97,3,2,12,Maint,0.918103,1278
1634,625,387,223,399,0,1634,0,0,2,12,NewDev,1,7060
275,184,11,48,7,0,7,243,0,1,9,Maint,1.1,702
458,202,66,75,115,0,458,0,0,1,16,NewDev,1,903
218,28,118,44,0,10,91,109,0,1,8,Maint,1.09,6765
498,107,132,7,77,122,445,0,0,3,19,NewDev,1.119101,8227
143,54,65,0,14,0,11,122,0,1,4,Maint,1.075188,334
722,163,0,202,237,20,622,0,0,1,9,NewDev,1.160772,4164
236,27,192,12,37,0,268,0,0,2,15,NewDev,0.880597,6844
239,39,70,18,62,55,244,0,0,2,10,NewDev,0.979508,1661
1882,711,589,218,442,0,1960,0,0,2,10,NewDev,0.960204,6068
291,188,29,0,69,37,323,0,0,2,14,NewDev,0.900929,6063
328,124,71,61,66,0,322,0,0,1,13,NewDev,1.018634,665
264,126,7,50,84,0,267,0,0,1,6,NewDev,0.988764,544
270,54,42,53,91,30,270,0,0,1,6,NewDev,1,893
32,0,7,12,0,10,29,0,0,1,2.5,NewDev,1.103448,352
1382,353,245,7,581,253,1439,0,0,4,8,NewDev,0.960389,3344
98,45,5,19,28,0,94,3,0,1,1,Maint,1.010309,404
289,3,100,0,66,145,314,0,0,2,8,NewDev,0.920382,5732
1059,299,234,144,217,60,954,0,0,2,17,NewDev,1.110063,22920
724,331,12,189,164,0,530,142,24,1,9,Maint,1.04023,9409
40,10,22,0,17,0,49,0,0,4,4,NewDev,0.816327,285
128,72,18,24,7,0,4,117,0,1,3,Maint,1.057851,1293
1248,249,262,146,423,15,1095,0,0,4,12,NewDev,1.139726,15165
387,109,118,67,90,7,391,0,0,1,17,NewDev,0.98977,3287
73,0,65,0,0,5,19,44,7,1,3,Maint,1.042857,764
151,22,0,68,47,0,32,105,0,1,3,Maint,1.10219,2194
465,48,162,0,196,37,443,0,0,1,4,NewDev,1.049661,2014
63,29,0,9,24,0,62,0,0,1,4,NewDev,1.016129,827
226,88,70,19,28,0,92,106,7,1,10,Maint,1.102439,2508
115,76,11,28,0,0,10,105,0,1,1.5,Maint,1,201
189,39,112,3,28,0,0,182,0,2,15,Maint,1.038462,563
55,52,0,6,0,0,58,0,0,1,11,NewDev,0.948276,534
85,12,44,0,24,0,12,68,0,1,4,Maint,1.0625,1039
2143,219,657,3,485,437,1801,0,0,1,7,NewDev,1.189895,43303
520,181,160,9,55,25,430,0,0,2,8,NewDev,1.209302,3133
113,25,34,16,27,0,38,64,0,2,3,Maint,1.107843,1801
264,85,17,26,133,0,157,98,6,1,6,Maint,1.011494,2639
349,162,24,18,112,30,342,4,0,2,4,Maint,1.008671,2360
229,88,5,0,17,131,241,0,0,2,5,NewDev,0.950207,2520
172,88,40,4,30,7,169,0,0,4,5,NewDev,1.017751,1788
323,108,57,53,74,31,323,0,0,1,13,NewDev,1,1238
89,15,28,17,7,30,24,73,0,2,4,Maint,0.917526,442
878,113,404,161,133,17,828,0,0,1,5,NewDev,1.060386,3368
220,81,50,51,42,0,224,0,0,3,3,NewDev,0.982143,281
150,125,4,20,0,0,6,143,0,1,3,Maint,1.006711,687
161,60,38,30,41,0,169,0,0,1,2,NewDev,0.952663,220
804,345,334,0,236,42,957,0,0,1,12,NewDev,0.840125,11388
272,63,20,61,71,30,245,0,0,2,14,NewDev,1.110204,9720
33,8,7,0,10,15,32,8,0,2,2,Maint,0.825,145
64,20,28,10,7,0,65,0,0,2,3,NewDev,0.984615,140
277,48,110,47,49,0,84,170,0,2,19,Maint,1.090551,1265
322,78,100,67,54,0,179,106,14,1,13,Maint,1.076923,5242
164,52,56,18,7,20,110,43,0,2,11,Maint,1.071895,2791
145,48,10,72,14,0,144,0,0,1,3,NewDev,1.006944,742
73,36,24,12,0,0,0,72,0,1,5,Maint,1.013889,584
245,42,179,24,42,15,302,0,0,2,7,NewDev,0.811258,893
406,209,36,125,20,0,102,288,0,1,7,Maint,1.041026,5639
98,35,0,41,20,0,28,68,0,1,5,Maint,1.020833,5533
83,44,10,3,25,0,15,63,4,1,3,Maint,1.012195,410
182,30,59,39,29,0,0,157,0,1,5,Maint,1.159236,1001
820,460,98,199,175,0,685,212,35,4,11,Maint,0.879828,2552
545,116,226,131,72,0,79,466,0,1,11,Maint,1,8740
105,96,9,0,0,0,21,84,0,1,8,Maint,1,198
55,12,10,14,15,0,9,42,0,1,1,Maint,1.078431,2347
62,27,4,0,31,7,69,0,0,1,8,NewDev,0.898551,817
109,0,105,0,0,0,0,105,0,1,1,Maint,1.038095,249
436,27,334,15,0,60,436,0,0,2,15,NewDev,1,7762
179,60,44,6,38,40,188,0,0,1,4,NewDev,0.952128,776
1710,932,521,233,214,0,1900,0,0,2,21,NewDev,0.9,13130
128,49,15,25,31,0,120,0,0,2,2,NewDev,1.066667,1644
174,21,7,30,50,32,140,0,0,4,8,NewDev,1.242857,13528
70,28,4,15,21,0,39,29,0,1,5,Maint,1.029412,617
379,159,29,57,119,15,379,0,0,1,7,NewDev,1,2391
258,12,16,230,0,0,26,232,0,2,5,Maint,1,605
129,33,0,39,24,25,121,0,0,2,4,NewDev,1.066116,2064
856,349,194,74,84,155,856,0,0,2,12,NewDev,1,2551
127,56,14,10,39,0,25,94,0,1,7,Maint,1.067227,1668
381,119,107,9,28,65,137,191,0,2,19,Maint,1.161585,1817
234,117,19,93,0,5,231,3,0,1,10,Maint,1,5103
215,58,62,46,51,0,82,135,0,1,8,Maint,0.990783,2836
1406,541,70,290,335,90,1326,0,0,4,1,NewDev,1.060332,14938
85,21,67,3,0,15,22,59,25,2,13,Maint,0.801887,1049
59,10,32,3,21,5,71,0,0,1,10,NewDev,0.830986,1061
358,139,0,89,70,40,338,0,0,1,9,NewDev,1.059172,13919
73,40,0,12,10,0,0,62,0,1,7,Maint,1.177419,3675
597,189,96,78,239,7,609,0,0,1,6,NewDev,0.980296,2542
276,90,120,34,14,0,101,139,18,1,2,Maint,1.069767,2244
728,181,165,15,84,167,330,27,255,1,4,Maint,1.189542,8046
59,0,55,0,0,0,11,11,33,1,6,Maint,1.072727,4945
98,36,32,9,17,0,45,42,7,1,11,Maint,1.042553,1313
756,452,66,127,84,5,302,320,112,1,7,Maint,1.029973,3214
155,120,34,0,0,0,47,107,0,1,10,Maint,1.006494,483
544,125,104,107,133,0,107,362,0,1,4,Maint,1.159915,2306
813,27,677,34,0,100,18,820,0,2,9,Maint,0.970167,1634
75,23,0,30,27,14,94,0,0,1,6,NewDev,0.797872,720
112,85,4,16,14,0,119,0,0,4,13,NewDev,0.941176,1073
211,73,32,79,22,5,111,100,0,1,13,Maint,1,3566
895,222,271,222,63,0,778,0,0,1,7,NewDev,1.150386,780
74,18,7,37,7,5,74,0,0,1,14,NewDev,1,3995
3331,1049,519,399,595,360,2922,0,0,4,42,NewDev,1.139973,49034
64,15,18,9,15,5,12,39,11,1,6,Maint,1.032258,392
1402,328,804,187,49,63,1431,0,0,1,23,NewDev,0.979734,17607
337,128,21,86,77,25,337,0,0,1,8,NewDev,1,591
73,0,0,67,0,10,39,38,0,1,6,Maint,0.948052,812
64,12,28,17,7,0,47,17,0,1,12,Maint,1,564
1703,186,463,0,516,316,1481,0,0,3,8,NewDev,1.149899,8549
151,41,21,29,41,19,151,0,0,1,3,NewDev,1,391
66,27,14,6,17,0,42,22,0,1,2,Maint,1.03125,1817
70,24,0,3,42,5,74,0,0,2,3,NewDev,0.945946,540
754,301,130,204,90,0,213,512,0,1,8,Maint,1.04,7443
325,106,49,31,80,12,136,142,0,1,6,Maint,1.169065,8663
168,84,7,45,40,22,198,0,0,2,12,NewDev,0.848485,4622
226,99,50,43,63,5,260,0,0,4,7,NewDev,0.869231,915
335,83,71,71,111,17,353,0,0,4,12,NewDev,0.949008,25401
76,21,51,3,0,0,63,12,0,1,5,Maint,1.013333,569
221,31,133,0,45,5,53,161,0,1,4,Maint,1.03271,1512
1010,213,224,111,212,75,758,77,0,2,11,Maint,1.209581,5053
116,46,12,22,35,15,130,0,0,1,10,NewDev,0.892308,1939
39,25,0,3,14,0,11,31,0,2,1,Maint,0.928571,114
170,75,12,23,39,0,108,41,0,4,8,Maint,1.14094,1532
179,85,0,49,59,0,193,0,0,1,4,NewDev,0.927461,4723
166,126,0,38,0,0,0,164,0,1,13,Maint,1.012195,2971
354,48,34,174,73,25,354,0,0,1,10,NewDev,1,5841
615,546,0,74,7,0,627,0,0,2,8,NewDev,0.980861,941
126,46,7,18,49,15,135,0,0,2,8,NewDev,0.933333,1035
1390,379,377,133,182,170,1241,0,0,3,13,NewDev,1.120064,5597
129,30,59,10,39,0,94,44,0,1,8,Maint,0.934783,2988
203,35,48,6,14,100,203,0,0,1,5,NewDev,1,3219
758,116,312,132,30,58,648,0,0,1,15,NewDev,1.169753,4630
558,92,116,57,196,0,461,0,0,1,6,NewDev,1.210412,4112
25,14,0,4,7,0,22,0,3,1,6,Maint,1,580
850,94,348,205,45,74,320,446,0,1,5,Maint,1.109661,10942
235,78,10,123,68,0,13,82,184,1,9,Maint,0.842294,937
58,15,0,19,22,0,26,30,0,1,8,Maint,1.035714,2515
316,14,118,14,155,0,139,151,11,2,8,Maint,1.049834,2600
7633,1240,2455,135,1732,1572,1376,5193,565,2,19,Maint,1.069947,25217
119,0,118,0,0,0,95,19,4,1,2,Maint,1.008475,176
55,12,17,6,14,10,59,0,0,1,3,NewDev,0.932203,341
1644,240,858,177,91,115,1481,0,0,1,38,NewDev,1.110061,16357
1193,196,667,149,115,54,516,485,180,1,12,Maint,1.010161,3006
605,155,231,91,105,0,582,0,0,1,8,NewDev,1.039519,1694
389,120,94,77,63,10,198,166,0,2,6,Maint,1.068681,1134
132,56,0,27,38,7,128,0,0,1,8,NewDev,1.03125,1186
132,30,50,22,24,0,39,27,60,1,9,Maint,1.047619,1383
286,94,36,44,38,55,267,0,0,1,6,NewDev,1.071161,1727
305,73,87,39,63,10,272,0,0,3,7,NewDev,1.121324,4504
268,73,105,0,70,0,248,0,0,2,8,NewDev,1.080645,4800
110,36,15,0,49,10,110,0,0,2,24,NewDev,1,2553
3963,1184,616,952,1091,42,3885,0,0,2,11,NewDev,1.020077,16921
397,83,252,16,58,0,409,0,0,1,7,NewDev,0.97066,7459
254,90,39,3,117,0,119,100,30,2,11,Maint,1.02008,3877
134,73,0,22,14,0,33,76,0,1,8,Maint,1.229358,2088
266,101,70,26,56,5,258,0,0,1,8,NewDev,1.031008,4695
237,114,11,44,42,0,181,30,0,1,9,Maint,1.123223,3201
1243,555,15,245,394,10,1219,0,0,1,9,NewDev,1.019688,11490
666,138,233,124,105,5,605,0,0,1,13,NewDev,1.100826,752
1810,349,423,377,457,10,1616,0,0,3,35,NewDev,1.12005,29399
88,56,7,15,7,0,9,76,0,1,6,Maint,1.035294,2299
62,19,8,9,15,0,51,0,0,1,5,NewDev,1.215686,883
305,59,102,19,60,21,138,123,0,1,10,Maint,1.168582,8702
349,107,93,97,52,0,286,63,0,1,8,Maint,1,3703
156,0,133,0,10,0,143,0,0,1,4,NewDev,1.090909,705
100,24,76,3,7,0,40,70,0,1,15,Maint,0.909091,1434
222,20,5,93,73,0,47,144,0,1,4,Maint,1.162304,2450
506,54,161,43,173,80,511,0,0,1,9,NewDev,0.990215,3500
123,28,0,47,15,25,115,0,0,2,3,NewDev,1.069565,1896
252,0,109,143,0,0,109,143,0,2,11,Maint,1,6821
258,186,40,19,10,0,0,255,0,1,4,Maint,1.011765,1393
166,67,88,6,0,0,37,120,4,1,7,Maint,1.031056,2604
181,45,39,38,42,5,169,0,0,2,10,NewDev,1.071006,3638
284,99,112,26,28,0,220,27,18,1,4,Maint,1.071698,3234
52,0,60,0,0,0,0,55,5,1,3,Maint,0.866667,252
102,72,0,18,0,7,0,97,0,1,3,Maint,1.051546,1028
58,26,29,3,0,0,22,36,0,1,5,Maint,1,691
1196,626,108,56,413,5,1208,0,0,4,15,NewDev,0.990066,7824
38,30,0,8,0,0,32,0,6,1,4,Maint,1,247
84,33,0,21,27,0,61,20,0,1,10,Maint,1.037037,2738
73,18,14,8,44,0,40,44,0,1,6,Maint,0.869048,1121
449,352,12,12,52,0,0,428,0,1,8,Maint,1.049065,16042
551,188,116,52,114,5,223,231,21,1,13,Maint,1.16,2435
194,48,47,28,27,35,185,0,0,2,8,NewDev,1.048649,1440
185,36,14,50,32,10,142,0,0,1,16,NewDev,1.302817,6416
134,43,0,77,36,0,156,0,0,1,5,NewDev,0.858974,1213
1241,575,45,319,301,0,1240,0,0,1,15,NewDev,1.000806,10222
99,81,0,3,15,0,6,93,0,1,3,Maint,1,241
1285,685,67,133,620,7,1512,0,0,1,16.5,NewDev,0.849868,1200
466,164,212,12,66,7,461,0,0,1,10,NewDev,1.010846,1708
77,30,0,20,22,0,7,65,0,1,4,Maint,1.069444,2108
81,11,22,0,20,21,64,10,0,1,1,Maint,1.094595,454
694,61,164,168,145,60,598,0,0,4,8,NewDev,1.160535,4086
62,18,7,6,10,17,7,51,0,1,5,Maint,1.068966,2027
56,0,42,0,0,15,57,0,0,1,3,NewDev,0.982456,293
753,289,13,0,363,7,672,0,0,1,12,NewDev,1.120536,4301
421,177,22,217,0,5,421,0,0,1,15.5,NewDev,1,16788
59,30,11,3,21,0,65,0,0,1,3,NewDev,0.907692,566
409,42,201,39,67,60,409,0,0,2,11,NewDev,1,2672
115,21,90,4,0,0,94,21,0,2,12,Maint,1,1869
93,58,20,4,10,0,22,70,0,1,3,Maint,1.01087,803
71,30,15,12,7,5,0,69,0,1,7,Maint,1.028986,4019
971,345,42,249,150,10,796,0,0,1,14,NewDev,1.219849,4867
74,15,7,42,0,10,74,0,0,1,17,NewDev,1,3132
81,18,4,25,21,10,25,30,23,1,1,Maint,1.038462,89
106,6,33,19,0,55,113,0,0,1,7,NewDev,0.938053,1126
1168,516,240,176,314,10,1256,0,0,3,8,NewDev,0.929936,1538
1093,392,119,235,166,47,959,0,0,1,11,NewDev,1.139729,7263
67,10,18,31,0,0,0,59,0,1,2,Maint,1.135593,3853
1256,270,121,450,90,50,981,0,0,1,28,NewDev,1.280326,28855
72,67,5,0,0,0,6,66,0,1,15,Maint,1,1248
777,287,159,38,147,45,676,0,0,2,13,NewDev,1.149408,15039
131,30,33,18,35,12,128,0,0,1,13,NewDev,1.023438,4947
134,78,0,0,63,0,141,0,0,1,8,NewDev,0.950355,2019
826,255,295,72,157,0,779,0,0,1,42,NewDev,1.060334,5400
3180,916,538,295,969,0,2718,0,0,4,36,NewDev,1.169978,33028
324,175,108,29,17,5,334,0,0,1,13,NewDev,0.97006,5078
220,132,45,30,7,0,49,165,0,1,3,Maint,1.028037,701
258,34,89,6,63,49,241,0,0,1,12,NewDev,1.070539,736
139,25,19,6,29,60,139,0,0,2,7,NewDev,1,976
274,70,123,57,28,30,308,0,0,2,4,NewDev,0.88961,1167
231,0,86,0,50,130,266,0,0,4,12,NewDev,0.868421,3762
126,58,15,6,21,40,22,118,0,2,5,Maint,0.9,619
93,0,70,0,15,10,0,95,0,1,8,Maint,0.978947,1101
1825,594,569,192,259,60,1674,0,0,1,15,NewDev,1.090203,1210
500,229,31,130,60,0,170,227,53,1,8,Maint,1.111111,5876
373,129,96,21,105,50,389,12,0,2,10,Maint,0.930175,2395
330,179,26,64,110,0,379,0,0,1,10,NewDev,0.870712,1050
57,27,28,0,0,0,0,55,0,1,4,Maint,1.036364,1741
127,61,0,20,44,0,13,98,14,1,4,Maint,1.016,1579
1362,579,291,171,378,0,1419,0,0,3,11,NewDev,0.959831,3193
1463,780,119,223,371,0,1493,0,0,4,23,NewDev,0.979906,36046
