classname ; CvsEntropy ; CvsWEntropy ; CvsLinEntropy ; CvsLogEntropy ; CvsExpEntropy ; 
org::apache::lucene::search::PhraseScorer ; 2.6029 ; 0.026718 ; 0.0057418 ; 0.0681672 ; 0.00340696 ; 
org::apache::lucene::analysis::WordlistLoader ; 7.75655 ; 0.206158 ; 0.013608 ; 0.190306 ; 0.0072202 ; 
org::apache::lucene::analysis::CharTokenizer ; 5.46076 ; 0.0423946 ; 0.0445186 ; 0.210853 ; 0.12351 ; 
org::apache::lucene::benchmark::byTask::tasks::ResetSystemEraseTask ; 4.08464 ; 0.017208 ; 0.0105405 ; 0.111471 ; 0.0103927 ; 
org::apache::lucene::queryParser::surround::query::ComposedQuery ; 3.9126 ; 0.0091715 ; 0.0563791 ; 0.210955 ; 0.108084 ; 
org::apache::lucene::xmlparser::builders::SpanBuilderBase ; 2.42975 ; 0.0199393 ; 0.0044811 ; 0.0606869 ; 0.00162176 ; 
org::apache::lucene::store::Directory ; 11.9647 ; 0.189867 ; 0.119783 ; 3.59951 ; 0.218627 ; 
org::apache::lucene::xmlparser::builders::DuplicateFilterBuilder ; 2.24283 ; 0.00352988 ; 0.0555838 ; 0.176221 ; 0.114048 ; 
org::apache::lucene::xmlparser::builders::BooleanQueryBuilder ; 7.59491 ; 0.0717043 ; 0.0627134 ; 0.301601 ; 0.109454 ; 
org::apache::lucene::index::DocInverterPerField ; 2.2048 ; 0.00530609 ; 0.0438039 ; 0.136638 ; 0.145088 ; 
org::apache::lucene::analysis::el::GreekLowerCaseFilter ; 4.01034 ; 0.0133112 ; 0.0849614 ; 0.270262 ; 0.206211 ; 
org::apache::lucene::index::ReadOnlySegmentReader ; 1.35264 ; 8.32763e-4 ; 0.0350566 ; 0.101164 ; 0.0995792 ; 
org::apache::lucene::search::spans::SpanNotQuery ; 8.83948 ; 0.267342 ; 0.0428683 ; 0.271437 ; 0.101025 ; 
org::apache::lucene::benchmark::byTask::tasks::RepSumByNameTask ; 3.28866 ; 0.0170226 ; 0.00774168 ; 0.0876976 ; 0.00527147 ; 
org::apache::lucene::index::InvertedDocEndConsumer ; 0.792859 ; 5.1848e-4 ; 0.0122672 ; 0.0424562 ; 0.0457934 ; 
org::apache::lucene::search::highlight::SpanGradientFormatter ; 4.04759 ; 0.0130581 ; 0.00827961 ; 0.102943 ; 0.00675749 ; 
org::apache::lucene::xmlparser::CoreParser ; 7.67536 ; 0.0494495 ; 0.0676022 ; 0.316053 ; 0.13114 ; 
org::apache::lucene::analysis::compound::hyphenation::HyphenationException ; 1.18716 ; 0.00167713 ; 0.0103756 ; 0.0486875 ; 0.0417474 ; 
org::apache::lucene::xmlparser::builders::FilteredQueryBuilder ; 3.81153 ; 0.0207318 ; 0.0566197 ; 0.210002 ; 0.108541 ; 
org::apache::lucene::benchmark::stats::MemUsage ; 2.88097 ; 0.00120628 ; 0.0551741 ; 0.187772 ; 0.108062 ; 
org::apache::lucene::index::ParallelReader ; 19.4885 ; 0.70161 ; 0.0716809 ; 0.563933 ; 0.140551 ; 
org::apache::lucene::store::ChecksumIndexInput ; 1.12713 ; 0.00181519 ; 0.00645093 ; 0.0393921 ; 0.0217025 ; 
org::apache::lucene::analysis::compound::DictionaryCompoundWordTokenFilter ; 1.18716 ; 0.00167713 ; 0.0103756 ; 0.0486875 ; 0.0417474 ; 
org::apache::lucene::store::SingleInstanceLockFactory ; 4.99485 ; 0.0137035 ; 0.0132794 ; 0.136452 ; 0.0185345 ; 
org::apache::lucene::analysis::ar::ArabicNormalizationFilter ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::analysis::StopAnalyzer ; 6.50047 ; 0.0635998 ; 0.0116065 ; 0.159885 ; 0.00705316 ; 
org::apache::lucene::analysis::PerFieldAnalyzerWrapper ; 6.08433 ; 0.0968814 ; 0.0113622 ; 0.151484 ; 0.00717911 ; 
org::apache::lucene::index::IndexReader ; 31.8654 ; 1.82971 ; 0.166162 ; 1.03245 ; 0.362861 ; 
org::apache::lucene::wordnet::SynLookup ; 0.740259 ; 0.0094905 ; 7.55367e-4 ; 0.016145 ; 4.53657e-6 ; 
org::apache::lucene::queryParser::surround::parser::QueryParserTokenManager ; 1.03163 ; 0.0042698 ; 0.00120501 ; 0.023183 ; 2.18418e-5 ; 
org::apache::lucene::analysis::ngram::EdgeNGramTokenFilter ; 3.46561 ; 0.0139708 ; 0.0389238 ; 0.155112 ; 0.115967 ; 
org::apache::lucene::search::ExtendedFieldCacheImpl ; 4.85875 ; 0.0677033 ; 0.105557 ; 3.41697 ; 0.21549 ; 
org::apache::lucene::benchmark::byTask::tasks::NewRoundTask ; 3.28866 ; 0.013807 ; 0.00774168 ; 0.0876976 ; 0.00527147 ; 
org::apache::lucene::benchmark::byTask::stats::Points ; 3.28866 ; 0.0605032 ; 0.00774168 ; 0.0876976 ; 0.00527147 ; 
org::apache::lucene::analysis::miscellaneous::PrefixAwareTokenFilter ; 2.35699 ; 0.026903 ; 0.0440601 ; 0.140911 ; 0.148302 ; 
org::apache::lucene::queryParser::Token ; 1.23854 ; 0.0331713 ; 0.0519223 ; 0.145898 ; 0.106899 ; 
org::apache::lucene::store::Lock ; 9.15338 ; 0.0710578 ; 0.0208316 ; 0.239519 ; 0.0219847 ; 
org::apache::lucene::index::FreqProxTermsWriter ; 1.54522 ; 0.0346251 ; 0.0273145 ; 0.0891453 ; 0.0962259 ; 
org::apache::lucene::analysis::compound::hyphenation::Hyphen ; 1.18716 ; 0.00167713 ; 0.0103756 ; 0.0486875 ; 0.0417474 ; 
org::apache::lucene::index::InvertedDocConsumerPerThread ; 0.792859 ; 5.1848e-4 ; 0.0122672 ; 0.0424562 ; 0.0457934 ; 
org::apache::lucene::analysis::Analyzer ; 7.3729 ; 0.0854729 ; 0.0176392 ; 0.194196 ; 0.0254562 ; 
org::apache::lucene::xmlparser::builders::LikeThisQueryBuilder ; 7.36559 ; 0.138294 ; 0.0933122 ; 0.361464 ; 0.212374 ; 
org::apache::lucene::xmlparser::builders::RangeFilterBuilder ; 3.66829 ; 0.0219196 ; 0.0564034 ; 0.206585 ; 0.108521 ; 
org::tartarus::snowball::ext::LovinsStemmer ; 1.35264 ; 8.32763e-4 ; 0.0350566 ; 0.101164 ; 0.0995792 ; 
org::apache::lucene::util::UnicodeUtil ; 0.907447 ; 0.00157841 ; 0.00633487 ; 0.0340785 ; 0.0239308 ; 
org::apache::lucene::document::NumberTools ; 2.83909 ; 0.00755549 ; 0.00795341 ; 0.0788386 ; 0.011542 ; 
org::apache::lucene::search::ExactPhraseScorer ; 2.6029 ; 0.0168352 ; 0.0057418 ; 0.0681672 ; 0.00340696 ; 
org::apache::lucene::store::FSDirectory ; 27.817 ; 1.41357 ; 0.146834 ; 0.914975 ; 0.314159 ; 
org::apache::lucene::ant::TextDocument ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::xmlparser::builders::SpanNotBuilder ; 2.99495 ; 0.0431902 ; 0.00530023 ; 0.0740352 ; 0.00168471 ; 
org::apache::lucene::store::instantiated::InstantiatedIndexReader ; 2.62836 ; 0.142628 ; 0.0658346 ; 0.206049 ; 0.160434 ; 
org::tartarus::snowball::ext::PortugueseStemmer ; 1.35264 ; 8.32763e-4 ; 0.0350566 ; 0.101164 ; 0.0995792 ; 
org::apache::lucene::util::CloseableThreadLocal ; 1.23854 ; 0.010397 ; 0.0519223 ; 0.145898 ; 0.106899 ; 
org::apache::lucene::index::FormatPostingsTermsWriter ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::index::MergeScheduler ; 3.38172 ; 0.0124765 ; 0.0152197 ; 0.108803 ; 0.0408162 ; 
org::apache::lucene::index::TermInfo ; 1.64243 ; 0.00391152 ; 0.00325183 ; 0.0418737 ; 0.00116335 ; 
org::apache::lucene::search::ComplexExplanation ; 5.15836 ; 0.0132306 ; 0.0217915 ; 0.158272 ; 0.0603891 ; 
org::apache::lucene::search::DocIdSetIterator ; 1.17515 ; 6.69115e-4 ; 0.00634538 ; 0.0402517 ; 0.0203787 ; 
org::apache::lucene::store::db::DbDirectory ; 1.43177 ; 0.0129918 ; 0.00146826 ; 0.0312605 ; 9.22005e-6 ; 
org::apache::lucene::search::CheckHits ; 1.45008 ; 0.00310247 ; 0.00214814 ; 0.0344245 ; 1.8773e-4 ; 
org::apache::lucene::index::Term ; 7.01764 ; 0.0477485 ; 0.0418079 ; 0.233481 ; 0.103884 ; 
org::apache::lucene::demo::SearchFiles ; 7.70696 ; 0.0988963 ; 0.0235861 ; 0.212649 ; 0.0547781 ; 
org::apache::lucene::demo::html::ParseException ; 2.76873 ; 0.00606085 ; 0.037311 ; 0.137154 ; 0.113602 ; 
org::apache::lucene::queryParser::surround::query::NotQuery ; 2.67407 ; 0.00818132 ; 0.00445684 ; 0.0650567 ; 0.00118519 ; 
org::tartarus::snowball::Among ; 1.35264 ; 8.32763e-4 ; 0.0350566 ; 0.101164 ; 0.0995792 ; 
org::apache::lucene::search::NonMatchingScorer ; 3.0742 ; 0.0169033 ; 0.00472009 ; 0.0731342 ; 0.00117257 ; 
org::apache::lucene::index::TermVectorsTermsWriterPerThread ; 0.792859 ; 5.1848e-4 ; 0.0122672 ; 0.0424562 ; 0.0457934 ; 
org::apache::lucene::search::Explanation ; 4.70913 ; 0.0533872 ; 0.0118167 ; 0.126392 ; 0.0158854 ; 
org::apache::lucene::index::TermVectorsWriter ; 7.52307 ; 0.123177 ; 0.0284878 ; 0.226735 ; 0.069843 ; 
org::apache::lucene::search::spans::NearSpansOrdered ; 3.71322 ; 0.0223112 ; 0.0360555 ; 0.152729 ; 0.10086 ; 
org::apache::lucene::util::BitVector ; 5.74394 ; 0.0918801 ; 0.019391 ; 0.166227 ; 0.0419916 ; 
org::apache::lucene::search::regex::RegexTermEnum ; 1.3633 ; 0.00348653 ; 0.0017908 ; 0.0314662 ; 7.47148e-5 ; 
org::apache::lucene::search::BoostingQuery ; 5.06437 ; 0.0329868 ; 0.0117325 ; 0.134047 ; 0.00916186 ; 
org::apache::lucene::analysis::ngram::NGramTokenizer ; 4.74253 ; 0.0496714 ; 0.0881842 ; 0.29526 ; 0.209 ; 
org::apache::lucene::queryParser::ParseException ; 4.00726 ; 0.00804122 ; 0.0892333 ; 0.283052 ; 0.220501 ; 
org::apache::lucene::benchmark::byTask::feeds::NoMoreDataException ; 1.48053 ; 2.80668e-4 ; 0.00365544 ; 0.0399966 ; 0.00285194 ; 
org::apache::lucene::demo::html::HTMLParser ; 6.53022 ; 0.0788933 ; 0.0426173 ; 0.225197 ; 0.114191 ; 
org::apache::lucene::queryParser::surround::query::BasicQueryFactory ; 2.67407 ; 0.00818132 ; 0.00445684 ; 0.0650567 ; 0.00118519 ; 
org::apache::lucene::analysis::br::BrazilianAnalyzer ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::Similarity ; 12.5926 ; 0.433618 ; 0.0302525 ; 0.334176 ; 0.0355882 ; 
org::apache::lucene::search::highlight::SimpleFragmenter ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::index::SegmentTermVector ; 2.88097 ; 0.0053968 ; 0.0551741 ; 0.187772 ; 0.108062 ; 
org::apache::lucene::benchmark::Constants ; 1.64243 ; 7.11186e-4 ; 0.00325183 ; 0.0418737 ; 0.00116335 ; 
org::apache::lucene::benchmark::byTask::tasks::WarmTask ; 3.28866 ; 0.0191707 ; 0.00774168 ; 0.0876976 ; 0.00527147 ; 
org::apache::lucene::index::DefaultSkipListReader ; 2.55842 ; 0.0486157 ; 0.0156888 ; 0.0899649 ; 0.053001 ; 
org::apache::lucene::analysis::el::GreekAnalyzer ; 2.5984 ; 0.00740838 ; 0.0534247 ; 0.17608 ; 0.106916 ; 
org::apache::lucene::xmlparser::builders::SpanOrBuilder ; 2.42975 ; 0.0199393 ; 0.0044811 ; 0.0606869 ; 0.00162176 ; 
org::apache::lucene::search::function::CustomScoreQuery ; 6.48196 ; 0.155219 ; 0.0523836 ; 0.252522 ; 0.150075 ; 
org::apache::lucene::index::SortedTermVectorMapper ; 1.17486 ; 9.65682e-4 ; 0.00361796 ; 0.0337529 ; 0.00505055 ; 
org::apache::lucene::analysis::sinks::TokenTypeSinkTokenizer ; 2.76004 ; 0.0020987 ; 0.0375323 ; 0.137482 ; 0.115025 ; 
org::apache::lucene::search::spans::SpanWeight ; 6.7985 ; 0.058815 ; 0.0121093 ; 0.168035 ; 0.00451784 ; 
org::apache::lucene::search::FuzzyTermEnum ; 1.64243 ; 0.00391152 ; 0.00325183 ; 0.0418737 ; 0.00116335 ; 
org::apache::lucene::search::function::ShortFieldSource ; 2.69823 ; 0.00544118 ; 0.00980001 ; 0.0811239 ; 0.0200228 ; 
org::apache::lucene::search::payloads::BoostingTermQuery ; 8.28731 ; 0.0780494 ; 0.0362422 ; 0.261043 ; 0.0944933 ; 
org::apache::lucene::search::highlight::TokenSources ; 6.46103 ; 0.0597259 ; 0.0948869 ; 0.346366 ; 0.229954 ; 
org::apache::lucene::demo::html::ParserThread ; 1.64243 ; 0.00391152 ; 0.00325183 ; 0.0418737 ; 0.00116335 ; 
org::tartarus::snowball::ext::EnglishStemmer ; 1.35264 ; 8.32763e-4 ; 0.0350566 ; 0.101164 ; 0.0995792 ; 
org::apache::lucene::index::TermVectorEntry ; 1.17486 ; 9.65682e-4 ; 0.00361796 ; 0.0337529 ; 0.00505055 ; 
org::apache::lucene::LucenePackage ; 2.52013 ; 0.00852783 ; 0.00418069 ; 0.0611694 ; 0.00117101 ; 
org::apache::lucene::index::FieldSortedTermVectorMapper ; 1.17486 ; 9.65682e-4 ; 0.00361796 ; 0.0337529 ; 0.00505055 ; 
org::apache::lucene::store::BufferedIndexInput ; 7.86104 ; 0.165435 ; 0.0576741 ; 0.29089 ; 0.13975 ; 
org::apache::lucene::index::FieldInfos ; 11.3053 ; 0.179749 ; 0.0485387 ; 0.342745 ; 0.111945 ; 
org::apache::lucene::index::TermInfosReader ; 11.8687 ; 0.381633 ; 0.0913715 ; 0.46058 ; 0.204893 ; 
org::apache::lucene::swing::models::RestaurantInfo ; 2.55041 ; 0.0106646 ; 0.0533105 ; 0.174739 ; 0.10691 ; 
org::apache::lucene::benchmark::byTask::tasks::TaskSequence ; 8.77321 ; 0.148371 ; 0.0275235 ; 0.25187 ; 0.0466191 ; 
org::apache::lucene::index::FreqProxTermsWriterPerThread ; 0.792859 ; 5.1848e-4 ; 0.0122672 ; 0.0424562 ; 0.0457934 ; 
org::apache::lucene::index::DocInverter ; 0.792859 ; 5.1848e-4 ; 0.0122672 ; 0.0424562 ; 0.0457934 ; 
org::apache::lucene::util::SortedVIntList ; 1.17515 ; 6.69115e-4 ; 0.00634538 ; 0.0402517 ; 0.0203787 ; 
org::apache::lucene::analysis::cn::ChineseAnalyzer ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::store::je::JEDirectory ; 4.83343 ; 0.0152834 ; 0.0591792 ; 0.237672 ; 0.110802 ; 
org::apache::lucene::search::highlight::GradientFormatter ; 0.740259 ; 0.0284715 ; 7.55367e-4 ; 0.016145 ; 4.53657e-6 ; 
org::apache::lucene::wordnet::Syns2Index ; 0.740259 ; 0.018981 ; 7.55367e-4 ; 0.016145 ; 4.53657e-6 ; 
org::apache::lucene::index::MergePolicy ; 5.84867 ; 0.0546801 ; 0.0269325 ; 0.189716 ; 0.074024 ; 
org::apache::lucene::search::QueryUtils ; 10.3357 ; 0.47489 ; 0.0769022 ; 0.396811 ; 0.142307 ; 
org::apache::lucene::index::memory::SynonymTokenFilter ; 6.53653 ; 0.0619658 ; 0.090004 ; 0.335068 ; 0.207675 ; 
org::apache::lucene::search::DisjunctionSumScorer ; 6.61495 ; 0.186243 ; 0.010607 ; 0.159497 ; 0.00226626 ; 
org::apache::lucene::store::NativeFSLockFactory ; 8.56136 ; 0.335887 ; 0.0222024 ; 0.233121 ; 0.0260645 ; 
org::apache::lucene::queryParser::surround::query::SpanNearClauseFactory ; 3.99248 ; 0.0387692 ; 0.0064383 ; 0.096463 ; 0.0013732 ; 
org::apache::lucene::search::spell::PlainTextDictionary ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::store::BufferedIndexOutput ; 6.09962 ; 0.0701341 ; 0.0127713 ; 0.157212 ; 0.00759033 ; 
org::apache::lucene::document::MapFieldSelector ; 4.88853 ; 0.030974 ; 0.0603946 ; 0.242608 ; 0.113451 ; 
org::apache::lucene::search::MockFilter ; 1.45008 ; 0.00310247 ; 0.00214814 ; 0.0344245 ; 1.8773e-4 ; 
org::apache::lucene::store::instantiated::InstantiatedIndex ; 2.62836 ; 0.0747738 ; 0.0658346 ; 0.206049 ; 0.160434 ; 
org::apache::lucene::index::FieldReaderException ; 3.46402 ; 0.0420774 ; 0.0168468 ; 0.111014 ; 0.0522199 ; 
org::apache::lucene::store::LockFactory ; 6.48779 ; 0.0345617 ; 0.0146122 ; 0.17039 ; 0.0113508 ; 
org::apache::lucene::benchmark::quality::trec::QueryDriver ; 2.3444 ; 0.00589857 ; 0.0102046 ; 0.0747136 ; 0.0262005 ; 
org::apache::lucene::index::TermsHashConsumerPerField ; 1.54522 ; 6.01081e-4 ; 0.0273145 ; 0.0891453 ; 0.0962259 ; 
org::apache::lucene::xmlparser::builders::TermsQueryBuilder ; 5.06827 ; 0.0272382 ; 0.0881505 ; 0.30133 ; 0.207983 ; 
org::apache::lucene::search::spans::TermSpans ; 2.89247 ; 0.00666415 ; 0.0351921 ; 0.134178 ; 0.102147 ; 
org::apache::lucene::demo::html::TokenMgrError ; 2.76873 ; 0.00207117 ; 0.037311 ; 0.137154 ; 0.113602 ; 
org::apache::lucene::search::TopDocs ; 4.17568 ; 0.0338708 ; 0.0108385 ; 0.112667 ; 0.0169694 ; 
org::apache::lucene::benchmark::quality::trec::TrecJudge ; 1.17486 ; 9.65682e-4 ; 0.00361796 ; 0.0337529 ; 0.00505055 ; 
org::apache::lucene::demo::html::SimpleCharStream ; 4.36338 ; 0.0468221 ; 0.0366038 ; 0.166707 ; 0.100452 ; 
org::apache::lucene::index::TermsHashConsumerPerThread ; 0.792859 ; 5.1848e-4 ; 0.0122672 ; 0.0424562 ; 0.0457934 ; 
org::apache::lucene::index::FormatPostingsPositionsConsumer ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::queryParser::surround::parser::QueryParser ; 1.03163 ; 0.0042698 ; 0.00120501 ; 0.023183 ; 2.18418e-5 ; 
org::apache::lucene::store::instantiated::InstantiatedTermPositions ; 0.60098 ; 3.8181e-4 ; 0.00388466 ; 0.0219358 ; 0.0141336 ; 
org::apache::lucene::analysis::el::GreekCharsets ; 2.5984 ; 0.00493292 ; 0.0534247 ; 0.17608 ; 0.106916 ; 
org::apache::lucene::benchmark::stats::QueryData ; 2.88097 ; 0.00120628 ; 0.0551741 ; 0.187772 ; 0.108062 ; 
org::apache::lucene::benchmark::byTask::feeds::FileBasedQueryMaker ; 2.62755 ; 0.00140593 ; 0.00712044 ; 0.0727472 ; 0.00758919 ; 
org::tartarus::snowball::ext::FinnishStemmer ; 1.35264 ; 8.32763e-4 ; 0.0350566 ; 0.101164 ; 0.0995792 ; 
org::apache::lucene::search::highlight::SpanScorer ; 3.70195 ; 0.010403 ; 0.0918998 ; 0.281751 ; 0.239606 ; 
org::apache::lucene::search::regex::RegexQuery ; 1.39276 ; 0.00403302 ; 0.00181929 ; 0.032105 ; 7.29382e-5 ; 
org::apache::lucene::document::Field ; 16.2091 ; 0.427376 ; 0.111507 ; 0.585738 ; 0.232305 ; 
org::tartarus::snowball::ext::TurkishStemmer ; 1.35264 ; 8.32763e-4 ; 0.0350566 ; 0.101164 ; 0.0995792 ; 
org::apache::lucene::analysis::WhitespaceTokenizer ; 1.64243 ; 0.00391152 ; 0.00325183 ; 0.0418737 ; 0.00116335 ; 
org::apache::lucene::demo::DeleteFiles ; 4.92899 ; 0.0119391 ; 0.0090143 ; 0.122947 ; 0.0029026 ; 
org::apache::lucene::xmlparser::builders::FuzzyLikeThisQueryBuilder ; 2.42975 ; 0.0199393 ; 0.0044811 ; 0.0606869 ; 0.00162176 ; 
org::apache::lucene::index::InvertedDocConsumerPerField ; 0.792859 ; 5.1848e-4 ; 0.0122672 ; 0.0424562 ; 0.0457934 ; 
org::apache::lucene::index::SegmentMergeInfo ; 3.2211 ; 0.0508607 ; 0.00528871 ; 0.078161 ; 0.00123854 ; 
org::apache::lucene::search::FuzzyLikeThisQuery ; 7.57455 ; 0.0765668 ; 0.124305 ; 3.51032 ; 0.243378 ; 
org::apache::lucene::index::FieldInvertState ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::index::DocFieldConsumersPerThread ; 0.792859 ; 5.1848e-4 ; 0.0122672 ; 0.0424562 ; 0.0457934 ; 
org::apache::lucene::store::GCJIndexInput ; 2.88097 ; 0.00440662 ; 0.0551741 ; 0.187772 ; 0.108062 ; 
org::apache::lucene::store::MMapDirectory ; 5.27595 ; 0.0274984 ; 0.0107263 ; 0.134671 ; 0.00713072 ; 
org::apache::lucene::store::instantiated::InstantiatedTermEnum ; 1.70353 ; 0.00334037 ; 0.0452834 ; 3.21225 ; 0.0849066 ; 
org::apache::lucene::wordnet::SynExpand ; 0.740259 ; 0.0094905 ; 7.55367e-4 ; 0.016145 ; 4.53657e-6 ; 
org::apache::lucene::xmlparser::builders::MatchAllDocsQueryBuilder ; 2.58969 ; 0.0217965 ; 0.00477666 ; 0.0647073 ; 0.00167658 ; 
org::apache::lucene::benchmark::quality::utils::QualityQueriesFinder ; 1.17486 ; 9.65682e-4 ; 0.00361796 ; 0.0337529 ; 0.00505055 ; 
org::apache::lucene::benchmark::byTask::tasks::WriteLineDocTask ; 1.74444 ; 0.00337235 ; 0.0054553 ; 0.0503378 ; 0.00788631 ; 
org::apache::lucene::store::LockObtainFailedException ; 1.09884 ; 0.00126433 ; 0.00252752 ; 0.0291281 ; 0.00157239 ; 
org::apache::lucene::search::WildcardQuery ; 3.23668 ; 0.0262769 ; 0.00471624 ; 0.0761413 ; 9.49908e-4 ; 
org::apache::lucene::search::TimeLimitedCollector ; 1.72811 ; 0.00945138 ; 0.0103356 ; 0.0613279 ; 0.0358361 ; 
org::apache::lucene::benchmark::byTask::feeds::ReutersQueryMaker ; 4.46352 ; 0.0390323 ; 0.0113596 ; 0.12145 ; 0.010322 ; 
org::apache::lucene::xmlparser::builders::TermsFilterBuilder ; 7.97841 ; 0.156578 ; 0.093454 ; 0.373535 ; 0.210734 ; 
org::apache::lucene::analysis::ar::ArabicNormalizer ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::swing::models::TableSearcher ; 6.26048 ; 0.041144 ; 0.0585238 ; 0.261606 ; 0.107361 ; 
org::apache::lucene::ant::HtmlDocument ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::WildcardTermEnum ; 3.2211 ; 0.0203438 ; 0.00528871 ; 0.078161 ; 0.00123854 ; 
org::apache::lucene::queryParser::surround::parser::FastCharStream ; 2.67407 ; 0.00818132 ; 0.00445684 ; 0.0650567 ; 0.00118519 ; 
org::apache::lucene::search::similar::MoreLikeThis ; 1.43177 ; 0.0129918 ; 0.00146826 ; 0.0312605 ; 9.22005e-6 ; 
org::apache::lucene::index::StoredFieldsWriterPerField ; 0.792859 ; 5.1848e-4 ; 0.0122672 ; 0.0424562 ; 0.0457934 ; 
org::apache::lucene::analysis::ru::RussianLowerCaseFilter ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::benchmark::byTask::feeds::SimpleSloppyPhraseQueryMaker ; 4.63879 ; 0.0437266 ; 0.011546 ; 0.125521 ; 0.00956453 ; 
org::apache::lucene::index::IndexFileNameFilter ; 5.55317 ; 0.033377 ; 0.0600699 ; 0.254036 ; 0.110622 ; 
org::apache::lucene::analysis::payloads::TypeAsPayloadTokenFilter ; 2.76004 ; 0.00568941 ; 0.0375323 ; 0.137482 ; 0.115025 ; 
org::apache::lucene::search::DocIdSet ; 1.17515 ; 6.69115e-4 ; 0.00634538 ; 0.0402517 ; 0.0203787 ; 
org::apache::lucene::index::CharBlockPool ; 1.39384 ; 0.00401117 ; 0.0161519 ; 0.0643919 ; 0.059927 ; 
org::apache::lucene::index::IndexModifier ; 18.28 ; 0.435033 ; 0.0994431 ; 0.611578 ; 0.197629 ; 
org::tartarus::snowball::ext::SpanishStemmer ; 1.35264 ; 8.32763e-4 ; 0.0350566 ; 0.101164 ; 0.0995792 ; 
org::apache::lucene::analysis::snowball::SnowballAnalyzer ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::index::IndexFileNames ; 9.29826 ; 0.0983306 ; 0.0706476 ; 0.358735 ; 0.124037 ; 
